country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Argentina,RSV,RSV,RSV,1997-04-01,0.0,0.0
Argentina,RSV,RSV,RSV,1997-05-01,0.0,0.0
Argentina,RSV,RSV,RSV,1997-06-01,0.0,55.0
Argentina,RSV,RSV,RSV,1997-07-01,0.0,0.0
Argentina,RSV,RSV,RSV,1997-08-01,0.0,0.0
Argentina,RSV,RSV,RSV,1997-09-01,0.0,18.0
Argentina,RSV,RSV,RSV,1997-10-01,0.0,24.0
Argentina,RSV,RSV,RSV,1997-11-01,0.0,0.0
Argentina,RSV,RSV,RSV,1997-12-01,0.0,0.0
Argentina,RSV,RSV,RSV,1998-01-01,0.0,0.0
Argentina,RSV,RSV,RSV,1998-02-01,0.0,0.0
Argentina,RSV,RSV,RSV,1998-03-01,0.0,0.0
Argentina,RSV,RSV,RSV,1998-04-01,0.0,0.0
Argentina,RSV,RSV,RSV,1998-05-01,0.0,0.0
Argentina,RSV,RSV,RSV,1998-06-01,0.0,0.0
Argentina,RSV,RSV,RSV,1998-07-01,0.0,0.0
Argentina,RSV,RSV,RSV,1998-08-01,0.0,0.0
Argentina,RSV,RSV,RSV,1998-09-01,0.0,0.0
Argentina,RSV,RSV,RSV,1998-10-01,0.0,0.0
Argentina,RSV,RSV,RSV,1998-11-01,0.0,0.0
Argentina,RSV,RSV,RSV,1998-12-01,0.0,0.0
Argentina,RSV,RSV,RSV,1999-01-01,0.0,0.0
Argentina,RSV,RSV,RSV,1999-02-01,0.0,0.0
Argentina,RSV,RSV,RSV,1999-03-01,0.0,0.0
Argentina,RSV,RSV,RSV,1999-04-01,0.0,8.0
Argentina,RSV,RSV,RSV,1999-05-01,0.0,39.0
Argentina,RSV,RSV,RSV,1999-06-01,0.0,180.0
Argentina,RSV,RSV,RSV,1999-07-01,0.0,216.0
Argentina,RSV,RSV,RSV,1999-08-01,0.0,140.0
Argentina,RSV,RSV,RSV,1999-09-01,0.0,60.0
Argentina,RSV,RSV,RSV,1999-10-01,0.0,31.0
Argentina,RSV,RSV,RSV,1999-11-01,0.0,15.0
Argentina,RSV,RSV,RSV,1999-12-01,0.0,4.0
Argentina,RSV,RSV,RSV,2000-01-01,0.0,5.0
Argentina,RSV,RSV,RSV,2000-02-01,0.0,7.0
Argentina,RSV,RSV,RSV,2000-03-01,0.0,29.0
Argentina,RSV,RSV,RSV,2000-04-01,0.0,34.0
Argentina,RSV,RSV,RSV,2000-05-01,0.0,169.0
Argentina,RSV,RSV,RSV,2000-06-01,0.0,173.0
Argentina,RSV,RSV,RSV,2000-07-01,0.0,90.0
Argentina,RSV,RSV,RSV,2000-08-01,0.0,19.0
