country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Armenia,Adenovirus,Adenovirus,ADENO,2010-10-01,0.0,0.0
Armenia,Adenovirus,Adenovirus,ADENO,2010-11-01,0.0,12.0
Armenia,Adenovirus,Adenovirus,ADENO,2010-12-01,0.0,8.0
Armenia,Adenovirus,Adenovirus,ADENO,2011-01-01,0.0,31.0
Armenia,Adenovirus,Adenovirus,ADENO,2011-02-01,0.0,36.0
Armenia,Adenovirus,Adenovirus,ADENO,2011-03-01,0.0,40.0
Armenia,Adenovirus,Adenovirus,ADENO,2011-04-01,0.0,5.0
Armenia,Adenovirus,Adenovirus,ADENO,2011-05-01,0.0,2.0
Armenia,Adenovirus,Adenovirus,ADENO,2011-06-01,0.0,0.0
Armenia,Adenovirus,Adenovirus,ADENO,2011-07-01,0.0,8.0
Armenia,Adenovirus,Adenovirus,ADENO,2011-08-01,0.0,1.0
Armenia,Adenovirus,Adenovirus,ADENO,2011-09-01,0.0,1.0
Armenia,Adenovirus,Adenovirus,ADENO,2011-10-01,0.0,0.0
Armenia,Adenovirus,Adenovirus,ADENO,2011-11-01,0.0,7.0
Armenia,Adenovirus,Adenovirus,ADENO,2011-12-01,0.0,4.0
Armenia,Adenovirus,Adenovirus,ADENO,2012-01-01,0.0,0.0
Armenia,Adenovirus,Adenovirus,ADENO,2012-02-01,0.0,20.0
Armenia,Adenovirus,Adenovirus,ADENO,2012-03-01,0.0,11.0
Armenia,Adenovirus,Adenovirus,ADENO,2012-04-01,0.0,0.0
Armenia,Adenovirus,Adenovirus,ADENO,2012-05-01,0.0,2.0
Armenia,Adenovirus,Adenovirus,ADENO,2012-06-01,0.0,0.0
Armenia,Adenovirus,Adenovirus,ADENO,2012-07-01,0.0,0.0
Armenia,Adenovirus,Adenovirus,ADENO,2012-08-01,0.0,0.0
Armenia,Adenovirus,Adenovirus,ADENO,2012-09-01,0.0,0.0
Armenia,Adenovirus,Adenovirus,ADENO,2012-10-01,0.0,4.0
