country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2008-03-01,0.0,62.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2008-04-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2008-05-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2008-06-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2008-07-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2008-08-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2008-09-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2008-10-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2008-11-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2008-12-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2009-01-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2009-02-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2009-03-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2009-04-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2009-05-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2009-06-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2009-07-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2009-08-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2009-09-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2009-10-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2009-11-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2009-12-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2010-01-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2010-02-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2010-03-01,0.0,0.0
Azerbaijan,InfluenzaB,InfluenzaB,INF_B,2010-04-01,0.0,0.0
