country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2010-01-01,0.0,16.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2010-02-01,0.0,27.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2010-03-01,0.0,227.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2010-04-01,0.0,303.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2010-05-01,0.0,166.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2010-06-01,0.0,86.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2010-07-01,0.0,346.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2010-08-01,0.0,561.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2010-09-01,0.0,149.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2010-10-01,0.0,86.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2010-11-01,0.0,93.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2010-12-01,0.0,28.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2011-01-01,0.0,30.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2011-02-01,0.0,37.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2011-03-01,0.0,96.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2011-04-01,0.0,94.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2011-05-01,0.0,167.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2011-06-01,0.0,119.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2011-07-01,1.0,153.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2011-08-01,0.0,395.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2011-09-01,52.0,1672.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2011-10-01,107.0,1311.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2011-11-01,70.0,408.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2011-12-01,8.0,126.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2012-01-01,12.0,180.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2012-02-01,23.0,183.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2012-03-01,109.0,497.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2012-04-01,86.0,763.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2012-05-01,21.0,877.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2012-06-01,112.0,1732.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2012-07-01,43.0,827.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2012-08-01,16.0,337.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2012-09-01,6.0,250.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2012-10-01,16.0,288.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2012-11-01,10.0,228.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2012-12-01,4.0,239.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2013-01-01,1.0,123.0
Bolivia (Plurinational State of),InfluenzaB,InfluenzaB,INF_B,2013-02-01,3.0,120.0
