country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2021-01-01,0.0,45.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2021-02-01,0.0,12.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2021-03-01,0.0,8.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2021-04-01,0.0,5.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2021-05-01,0.0,18.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2021-06-01,0.0,7.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2021-07-01,0.0,5.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2021-08-01,0.0,8.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2021-09-01,0.0,27.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2021-10-01,0.0,1.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2021-11-01,0.0,5.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2021-12-01,0.0,6.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2022-01-01,0.0,3.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2022-02-01,0.0,3.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2022-03-01,0.0,1.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2022-04-01,0.0,5.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2022-05-01,0.0,9.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2022-06-01,0.0,33.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2022-07-01,0.0,49.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2022-08-01,1.0,74.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2022-09-01,33.0,80.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2022-10-01,68.0,284.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2022-11-01,16.0,202.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2022-12-01,2.0,170.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2023-01-01,3.0,271.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2023-02-01,1.0,197.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2023-03-01,5.0,246.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2023-04-01,3.0,132.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2023-05-01,7.0,193.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2023-06-01,12.0,121.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2023-07-01,24.0,220.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2023-08-01,13.0,175.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2023-09-01,16.0,183.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2023-10-01,48.0,246.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2023-11-01,52.0,200.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2023-12-01,19.0,185.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2024-01-01,13.0,155.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2024-02-01,11.0,134.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2024-03-01,9.0,128.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2024-04-01,15.0,159.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2024-05-01,11.0,127.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2024-06-01,35.0,204.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2024-07-01,43.0,246.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2024-08-01,17.0,137.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2024-09-01,9.0,85.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2024-10-01,7.0,125.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2024-11-01,3.0,60.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2024-12-01,27.0,126.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2025-01-01,68.0,203.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2025-02-01,42.0,157.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2025-03-01,17.0,154.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2025-04-01,4.0,122.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2025-05-01,1.0,109.0
Brunei Darussalam,InfluenzaA,InfluenzaA,INF_A,2025-06-01,2.0,126.0
