country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2008-12-01,0.0,2.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2009-01-01,11.0,90.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2009-02-01,11.0,168.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2009-03-01,3.0,48.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2009-04-01,8.0,90.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2009-05-01,99.0,172.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2009-06-01,45.0,84.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2009-07-01,12.0,77.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2009-08-01,14.0,80.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2009-09-01,38.0,141.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2009-10-01,21.0,98.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2009-11-01,0.0,0.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2009-12-01,0.0,0.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2010-01-01,17.0,43.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2010-02-01,13.0,49.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2010-03-01,29.0,143.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2010-04-01,4.0,87.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2010-05-01,23.0,218.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2010-06-01,24.0,321.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2010-07-01,2.0,163.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2010-08-01,7.0,106.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2010-09-01,4.0,134.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2010-10-01,8.0,79.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2010-11-01,37.0,171.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2010-12-01,0.0,0.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2011-01-01,1.0,98.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2011-02-01,5.0,50.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2011-03-01,0.0,0.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2011-04-01,0.0,0.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2011-05-01,4.0,37.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2011-06-01,27.0,102.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2011-07-01,41.0,136.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2011-08-01,24.0,151.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2011-09-01,27.0,284.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2011-10-01,52.0,230.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2011-11-01,9.0,63.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2011-12-01,0.0,0.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2012-01-01,31.0,178.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2012-02-01,38.0,88.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2012-03-01,27.0,114.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2012-04-01,25.0,100.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2012-05-01,14.0,86.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2012-06-01,19.0,106.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2012-07-01,27.0,161.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2012-08-01,6.0,109.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2012-09-01,1.0,64.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2012-10-01,24.0,209.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2012-11-01,17.0,117.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2012-12-01,5.0,107.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2013-01-01,4.0,96.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2013-02-01,9.0,133.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2013-03-01,2.0,180.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2013-04-01,9.0,231.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2013-05-01,3.0,141.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2013-06-01,19.0,189.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2013-07-01,12.0,222.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2013-08-01,18.0,180.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2013-09-01,19.0,254.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2013-10-01,19.0,214.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2013-11-01,43.0,189.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2013-12-01,46.0,203.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2014-01-01,13.0,128.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2014-02-01,15.0,212.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2014-03-01,0.0,262.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2014-04-01,0.0,186.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2014-05-01,4.0,207.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2014-06-01,51.0,295.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2014-07-01,18.0,234.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2014-08-01,3.0,267.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2014-09-01,1.0,222.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2014-10-01,0.0,230.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2014-11-01,1.0,197.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2014-12-01,0.0,243.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2015-01-01,0.0,144.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2015-02-01,1.0,128.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2015-03-01,13.0,192.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2015-04-01,28.0,230.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2015-05-01,30.0,157.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2015-06-01,53.0,187.0
Côte d’Ivoire,InfluenzaA,InfluenzaA,INF_A,2015-07-01,44.0,190.0
