country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Cambodia,InfluenzaA,InfluenzaA,INF_A,2006-07-01,0.0,8.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2006-08-01,1.0,87.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2006-09-01,12.0,105.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2006-10-01,15.0,125.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2006-11-01,2.0,93.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2006-12-01,0.0,100.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2007-01-01,0.0,153.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2007-02-01,0.0,109.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2007-03-01,1.0,108.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2007-04-01,0.0,129.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2007-05-01,0.0,95.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2007-06-01,1.0,68.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2007-07-01,8.0,129.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2007-08-01,13.0,114.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2007-09-01,13.0,100.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2007-10-01,4.0,99.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2007-11-01,1.0,71.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2007-12-01,0.0,85.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2008-01-01,0.0,96.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2008-02-01,0.0,82.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2008-03-01,0.0,109.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2008-04-01,0.0,82.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2008-05-01,0.0,65.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2008-06-01,3.0,124.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2008-07-01,4.0,103.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2008-08-01,8.0,81.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2008-09-01,36.0,129.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2008-10-01,57.0,155.0
Cambodia,InfluenzaA,InfluenzaA,INF_A,2008-11-01,29.0,133.0
