country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Cambodia,InfluenzaB,InfluenzaB,INF_B,2006-07-01,0.0,8.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2006-08-01,0.0,87.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2006-09-01,0.0,105.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2006-10-01,0.0,125.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2006-11-01,0.0,93.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2006-12-01,0.0,100.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2007-01-01,0.0,153.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2007-02-01,0.0,109.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2007-03-01,11.0,108.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2007-04-01,0.0,129.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2007-05-01,0.0,95.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2007-06-01,0.0,68.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2007-07-01,3.0,129.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2007-08-01,9.0,114.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2007-09-01,6.0,100.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2007-10-01,9.0,99.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2007-11-01,6.0,71.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2007-12-01,10.0,85.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2008-01-01,1.0,96.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2008-02-01,0.0,82.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2008-03-01,0.0,109.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2008-04-01,0.0,82.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2008-05-01,0.0,65.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2008-06-01,1.0,124.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2008-07-01,2.0,103.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2008-08-01,2.0,81.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2008-09-01,4.0,129.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2008-10-01,17.0,155.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2008-11-01,17.0,133.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2008-12-01,23.0,169.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2009-01-01,3.0,136.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2009-02-01,4.0,141.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2009-03-01,2.0,172.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2009-04-01,3.0,139.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2009-05-01,1.0,175.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2009-06-01,12.0,561.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2009-07-01,5.0,416.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2009-08-01,9.0,779.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2009-09-01,6.0,780.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2009-10-01,10.0,822.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2009-11-01,31.0,677.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2009-12-01,11.0,379.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2010-01-01,3.0,436.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2010-02-01,9.0,462.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2010-03-01,2.0,380.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2010-04-01,0.0,272.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2010-05-01,0.0,349.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2010-06-01,0.0,371.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2010-07-01,5.0,394.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2010-08-01,4.0,247.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2010-09-01,10.0,754.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2010-10-01,43.0,947.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2010-11-01,67.0,682.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2010-12-01,74.0,519.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2011-01-01,38.0,464.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2011-02-01,12.0,414.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2011-03-01,11.0,372.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2011-04-01,3.0,345.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2011-05-01,14.0,428.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2011-06-01,27.0,526.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2011-07-01,41.0,600.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2011-08-01,67.0,726.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2011-09-01,121.0,683.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2011-10-01,373.0,915.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2011-11-01,86.0,432.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2011-12-01,18.0,368.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2012-01-01,4.0,514.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2012-02-01,0.0,422.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2012-03-01,3.0,409.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2012-04-01,3.0,333.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2012-05-01,1.0,212.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2012-06-01,1.0,240.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2012-07-01,2.0,262.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2012-08-01,3.0,207.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2012-09-01,8.0,205.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2012-10-01,7.0,282.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2012-11-01,19.0,198.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2012-12-01,36.0,235.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2013-01-01,11.0,135.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2013-02-01,2.0,148.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2013-03-01,2.0,144.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2013-04-01,1.0,161.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2013-05-01,0.0,131.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2013-06-01,1.0,123.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2013-07-01,2.0,177.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2013-08-01,8.0,137.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2013-09-01,16.0,153.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2013-10-01,40.0,167.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2013-11-01,43.0,144.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2013-12-01,23.0,152.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2014-01-01,3.0,116.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2014-02-01,0.0,140.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2014-03-01,2.0,176.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2014-04-01,1.0,112.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2014-05-01,1.0,109.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2014-06-01,2.0,156.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2014-07-01,1.0,110.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2014-08-01,1.0,129.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2014-09-01,0.0,143.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2014-10-01,0.0,111.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2014-11-01,2.0,118.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2014-12-01,1.0,118.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2015-01-01,0.0,110.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2015-02-01,0.0,107.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2015-03-01,0.0,143.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2015-04-01,0.0,106.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2015-05-01,0.0,110.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2015-06-01,0.0,132.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2015-07-01,1.0,121.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2015-08-01,1.0,138.0
Cambodia,InfluenzaB,InfluenzaB,INF_B,2015-09-01,2.0,109.0
