country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Cambodia,RSV,RSV,RSV,2006-07-01,0.0,8.0
Cambodia,RSV,RSV,RSV,2006-08-01,0.0,87.0
Cambodia,RSV,RSV,RSV,2006-09-01,0.0,105.0
Cambodia,RSV,RSV,RSV,2006-10-01,0.0,125.0
Cambodia,RSV,RSV,RSV,2006-11-01,0.0,93.0
Cambodia,RSV,RSV,RSV,2006-12-01,0.0,100.0
Cambodia,RSV,RSV,RSV,2007-01-01,0.0,153.0
Cambodia,RSV,RSV,RSV,2007-02-01,0.0,109.0
Cambodia,RSV,RSV,RSV,2007-03-01,0.0,108.0
Cambodia,RSV,RSV,RSV,2007-04-01,0.0,129.0
Cambodia,RSV,RSV,RSV,2007-05-01,0.0,95.0
Cambodia,RSV,RSV,RSV,2007-06-01,0.0,68.0
Cambodia,RSV,RSV,RSV,2007-07-01,0.0,129.0
Cambodia,RSV,RSV,RSV,2007-08-01,0.0,114.0
Cambodia,RSV,RSV,RSV,2007-09-01,0.0,100.0
Cambodia,RSV,RSV,RSV,2007-10-01,0.0,99.0
Cambodia,RSV,RSV,RSV,2007-11-01,0.0,71.0
Cambodia,RSV,RSV,RSV,2007-12-01,0.0,85.0
Cambodia,RSV,RSV,RSV,2008-01-01,0.0,96.0
Cambodia,RSV,RSV,RSV,2008-02-01,0.0,82.0
Cambodia,RSV,RSV,RSV,2008-03-01,0.0,109.0
Cambodia,RSV,RSV,RSV,2008-04-01,0.0,82.0
Cambodia,RSV,RSV,RSV,2008-05-01,0.0,65.0
Cambodia,RSV,RSV,RSV,2008-06-01,0.0,124.0
Cambodia,RSV,RSV,RSV,2008-07-01,0.0,103.0
Cambodia,RSV,RSV,RSV,2008-08-01,0.0,81.0
Cambodia,RSV,RSV,RSV,2008-09-01,0.0,129.0
Cambodia,RSV,RSV,RSV,2008-10-01,0.0,155.0
Cambodia,RSV,RSV,RSV,2008-11-01,0.0,133.0
Cambodia,RSV,RSV,RSV,2008-12-01,0.0,169.0
Cambodia,RSV,RSV,RSV,2009-01-01,0.0,136.0
Cambodia,RSV,RSV,RSV,2009-02-01,0.0,141.0
Cambodia,RSV,RSV,RSV,2009-03-01,0.0,172.0
Cambodia,RSV,RSV,RSV,2009-04-01,0.0,139.0
Cambodia,RSV,RSV,RSV,2009-05-01,0.0,175.0
Cambodia,RSV,RSV,RSV,2009-06-01,0.0,561.0
Cambodia,RSV,RSV,RSV,2009-07-01,0.0,416.0
Cambodia,RSV,RSV,RSV,2009-08-01,0.0,779.0
Cambodia,RSV,RSV,RSV,2009-09-01,0.0,780.0
Cambodia,RSV,RSV,RSV,2009-10-01,0.0,822.0
Cambodia,RSV,RSV,RSV,2009-11-01,0.0,677.0
Cambodia,RSV,RSV,RSV,2009-12-01,0.0,379.0
Cambodia,RSV,RSV,RSV,2010-01-01,0.0,436.0
Cambodia,RSV,RSV,RSV,2010-02-01,0.0,462.0
Cambodia,RSV,RSV,RSV,2010-03-01,0.0,380.0
Cambodia,RSV,RSV,RSV,2010-04-01,0.0,272.0
Cambodia,RSV,RSV,RSV,2010-05-01,0.0,349.0
Cambodia,RSV,RSV,RSV,2010-06-01,0.0,371.0
Cambodia,RSV,RSV,RSV,2010-07-01,0.0,394.0
Cambodia,RSV,RSV,RSV,2010-08-01,0.0,247.0
Cambodia,RSV,RSV,RSV,2010-09-01,0.0,754.0
Cambodia,RSV,RSV,RSV,2010-10-01,0.0,947.0
Cambodia,RSV,RSV,RSV,2010-11-01,0.0,682.0
Cambodia,RSV,RSV,RSV,2010-12-01,0.0,519.0
Cambodia,RSV,RSV,RSV,2011-01-01,0.0,464.0
Cambodia,RSV,RSV,RSV,2011-02-01,0.0,414.0
Cambodia,RSV,RSV,RSV,2011-03-01,0.0,372.0
Cambodia,RSV,RSV,RSV,2011-04-01,0.0,345.0
Cambodia,RSV,RSV,RSV,2011-05-01,0.0,428.0
Cambodia,RSV,RSV,RSV,2011-06-01,0.0,526.0
Cambodia,RSV,RSV,RSV,2011-07-01,0.0,600.0
Cambodia,RSV,RSV,RSV,2011-08-01,0.0,726.0
Cambodia,RSV,RSV,RSV,2011-09-01,0.0,683.0
Cambodia,RSV,RSV,RSV,2011-10-01,0.0,915.0
Cambodia,RSV,RSV,RSV,2011-11-01,0.0,432.0
Cambodia,RSV,RSV,RSV,2011-12-01,0.0,368.0
Cambodia,RSV,RSV,RSV,2012-01-01,0.0,514.0
Cambodia,RSV,RSV,RSV,2012-02-01,0.0,422.0
Cambodia,RSV,RSV,RSV,2012-03-01,0.0,409.0
Cambodia,RSV,RSV,RSV,2012-04-01,0.0,333.0
Cambodia,RSV,RSV,RSV,2012-05-01,0.0,212.0
Cambodia,RSV,RSV,RSV,2012-06-01,0.0,240.0
Cambodia,RSV,RSV,RSV,2012-07-01,0.0,262.0
Cambodia,RSV,RSV,RSV,2012-08-01,0.0,207.0
Cambodia,RSV,RSV,RSV,2012-09-01,0.0,205.0
Cambodia,RSV,RSV,RSV,2012-10-01,0.0,282.0
Cambodia,RSV,RSV,RSV,2012-11-01,0.0,198.0
Cambodia,RSV,RSV,RSV,2012-12-01,0.0,235.0
Cambodia,RSV,RSV,RSV,2013-01-01,0.0,135.0
Cambodia,RSV,RSV,RSV,2013-02-01,0.0,148.0
Cambodia,RSV,RSV,RSV,2013-03-01,0.0,144.0
Cambodia,RSV,RSV,RSV,2013-04-01,0.0,161.0
Cambodia,RSV,RSV,RSV,2013-05-01,0.0,131.0
Cambodia,RSV,RSV,RSV,2013-06-01,0.0,123.0
Cambodia,RSV,RSV,RSV,2013-07-01,0.0,177.0
Cambodia,RSV,RSV,RSV,2013-08-01,0.0,137.0
Cambodia,RSV,RSV,RSV,2013-09-01,0.0,153.0
Cambodia,RSV,RSV,RSV,2013-10-01,0.0,167.0
Cambodia,RSV,RSV,RSV,2013-11-01,0.0,144.0
Cambodia,RSV,RSV,RSV,2013-12-01,0.0,152.0
Cambodia,RSV,RSV,RSV,2014-01-01,0.0,116.0
Cambodia,RSV,RSV,RSV,2014-02-01,0.0,140.0
Cambodia,RSV,RSV,RSV,2014-03-01,0.0,176.0
Cambodia,RSV,RSV,RSV,2014-04-01,0.0,112.0
Cambodia,RSV,RSV,RSV,2014-05-01,0.0,109.0
Cambodia,RSV,RSV,RSV,2014-06-01,0.0,156.0
Cambodia,RSV,RSV,RSV,2014-07-01,0.0,110.0
Cambodia,RSV,RSV,RSV,2014-08-01,0.0,129.0
Cambodia,RSV,RSV,RSV,2014-09-01,0.0,143.0
Cambodia,RSV,RSV,RSV,2014-10-01,0.0,111.0
