country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Central African Republic,RSV,RSV,RSV,2010-01-01,0.0,45.0
Central African Republic,RSV,RSV,RSV,2010-02-01,0.0,18.0
Central African Republic,RSV,RSV,RSV,2010-03-01,0.0,17.0
Central African Republic,RSV,RSV,RSV,2010-04-01,0.0,32.0
Central African Republic,RSV,RSV,RSV,2010-05-01,0.0,39.0
Central African Republic,RSV,RSV,RSV,2010-06-01,0.0,47.0
Central African Republic,RSV,RSV,RSV,2010-07-01,0.0,25.0
Central African Republic,RSV,RSV,RSV,2010-08-01,0.0,27.0
Central African Republic,RSV,RSV,RSV,2010-09-01,0.0,5.0
Central African Republic,RSV,RSV,RSV,2010-10-01,0.0,5.0
Central African Republic,RSV,RSV,RSV,2010-11-01,0.0,38.0
Central African Republic,RSV,RSV,RSV,2010-12-01,0.0,17.0
Central African Republic,RSV,RSV,RSV,2011-01-01,0.0,62.0
Central African Republic,RSV,RSV,RSV,2011-02-01,0.0,13.0
Central African Republic,RSV,RSV,RSV,2011-03-01,0.0,31.0
Central African Republic,RSV,RSV,RSV,2011-04-01,0.0,9.0
Central African Republic,RSV,RSV,RSV,2011-05-01,0.0,22.0
Central African Republic,RSV,RSV,RSV,2011-06-01,0.0,11.0
Central African Republic,RSV,RSV,RSV,2011-07-01,0.0,17.0
Central African Republic,RSV,RSV,RSV,2011-08-01,0.0,24.0
Central African Republic,RSV,RSV,RSV,2011-09-01,0.0,11.0
Central African Republic,RSV,RSV,RSV,2011-10-01,0.0,8.0
Central African Republic,RSV,RSV,RSV,2011-11-01,0.0,3.0
Central African Republic,RSV,RSV,RSV,2011-12-01,0.0,0.0
Central African Republic,RSV,RSV,RSV,2012-01-01,0.0,24.0
Central African Republic,RSV,RSV,RSV,2012-02-01,0.0,13.0
Central African Republic,RSV,RSV,RSV,2012-03-01,0.0,15.0
Central African Republic,RSV,RSV,RSV,2012-04-01,0.0,18.0
Central African Republic,RSV,RSV,RSV,2012-05-01,0.0,32.0
Central African Republic,RSV,RSV,RSV,2012-06-01,0.0,46.0
Central African Republic,RSV,RSV,RSV,2012-07-01,0.0,83.0
Central African Republic,RSV,RSV,RSV,2012-08-01,0.0,128.0
Central African Republic,RSV,RSV,RSV,2012-09-01,0.0,173.0
Central African Republic,RSV,RSV,RSV,2012-10-01,0.0,129.0
Central African Republic,RSV,RSV,RSV,2012-11-01,0.0,123.0
Central African Republic,RSV,RSV,RSV,2012-12-01,0.0,89.0
Central African Republic,RSV,RSV,RSV,2013-01-01,0.0,132.0
Central African Republic,RSV,RSV,RSV,2013-02-01,0.0,92.0
Central African Republic,RSV,RSV,RSV,2013-03-01,0.0,95.0
Central African Republic,RSV,RSV,RSV,2013-04-01,0.0,55.0
Central African Republic,RSV,RSV,RSV,2013-05-01,0.0,85.0
Central African Republic,RSV,RSV,RSV,2013-06-01,0.0,64.0
Central African Republic,RSV,RSV,RSV,2013-07-01,0.0,135.0
Central African Republic,RSV,RSV,RSV,2013-08-01,0.0,118.0
Central African Republic,RSV,RSV,RSV,2013-09-01,0.0,159.0
Central African Republic,RSV,RSV,RSV,2013-10-01,0.0,117.0
