country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1996-12-01,5.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1997-01-01,37.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1997-02-01,60.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1997-03-01,56.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1997-04-01,9.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1997-05-01,2.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1997-06-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1997-07-01,1.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1997-08-01,4.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1997-09-01,8.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1997-10-01,3.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1997-11-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1997-12-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1998-01-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1998-02-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1998-03-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1998-04-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1998-05-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1998-06-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1998-07-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1998-08-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1998-09-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1998-10-01,4.0,943.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1998-11-01,2.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1998-12-01,3.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1999-01-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1999-02-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1999-03-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1999-04-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1999-05-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1999-06-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1999-07-01,0.0,0.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1999-08-01,39.0,1482.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1999-09-01,58.0,1249.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1999-10-01,24.0,961.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1999-11-01,17.0,980.0
"China, Hong Kong SAR",InfluenzaB,InfluenzaB,INF_B,1999-12-01,10.0,846.0
