country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
China,InfluenzaA,InfluenzaA,INF_A,2005-09-01,29.0,337.0
China,InfluenzaA,InfluenzaA,INF_A,2005-10-01,380.0,3704.0
China,InfluenzaA,InfluenzaA,INF_A,2005-11-01,695.0,4755.0
China,InfluenzaA,InfluenzaA,INF_A,2005-12-01,669.0,4680.0
China,InfluenzaA,InfluenzaA,INF_A,2006-01-01,454.0,3780.0
China,InfluenzaA,InfluenzaA,INF_A,2006-02-01,165.0,3617.0
China,InfluenzaA,InfluenzaA,INF_A,2006-03-01,115.0,5294.0
China,InfluenzaA,InfluenzaA,INF_A,2006-04-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2006-05-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2006-06-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2006-07-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2006-08-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2006-09-01,18.0,598.0
China,InfluenzaA,InfluenzaA,INF_A,2006-10-01,42.0,3067.0
China,InfluenzaA,InfluenzaA,INF_A,2006-11-01,53.0,3409.0
China,InfluenzaA,InfluenzaA,INF_A,2006-12-01,536.0,5149.0
China,InfluenzaA,InfluenzaA,INF_A,2007-01-01,1583.0,7255.0
China,InfluenzaA,InfluenzaA,INF_A,2007-02-01,398.0,2679.0
China,InfluenzaA,InfluenzaA,INF_A,2007-03-01,291.0,3171.0
China,InfluenzaA,InfluenzaA,INF_A,2007-04-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2007-05-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2007-06-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2007-07-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2007-08-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2007-09-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2007-10-01,41.0,1750.0
China,InfluenzaA,InfluenzaA,INF_A,2007-11-01,42.0,2215.0
China,InfluenzaA,InfluenzaA,INF_A,2007-12-01,101.0,3409.0
China,InfluenzaA,InfluenzaA,INF_A,2008-01-01,137.0,2924.0
China,InfluenzaA,InfluenzaA,INF_A,2008-02-01,104.0,1459.0
China,InfluenzaA,InfluenzaA,INF_A,2008-03-01,248.0,3978.0
China,InfluenzaA,InfluenzaA,INF_A,2008-04-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2008-05-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2008-06-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2008-07-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2008-08-01,0.0,0.0
China,InfluenzaA,InfluenzaA,INF_A,2008-09-01,23.0,375.0
China,InfluenzaA,InfluenzaA,INF_A,2008-10-01,136.0,4480.0
China,InfluenzaA,InfluenzaA,INF_A,2008-11-01,284.0,4901.0
China,InfluenzaA,InfluenzaA,INF_A,2008-12-01,927.0,6959.0
China,InfluenzaA,InfluenzaA,INF_A,2009-01-01,686.0,4054.0
China,InfluenzaA,InfluenzaA,INF_A,2009-02-01,440.0,4254.0
China,InfluenzaA,InfluenzaA,INF_A,2009-03-01,312.0,4835.0
China,InfluenzaA,InfluenzaA,INF_A,2009-04-01,127.0,3050.0
China,InfluenzaA,InfluenzaA,INF_A,2009-05-01,61.0,2219.0
China,InfluenzaA,InfluenzaA,INF_A,2009-06-01,484.0,8318.0
China,InfluenzaA,InfluenzaA,INF_A,2009-07-01,2067.0,12756.0
China,InfluenzaA,InfluenzaA,INF_A,2009-08-01,7237.0,21956.0
China,InfluenzaA,InfluenzaA,INF_A,2009-09-01,9762.0,30882.0
China,InfluenzaA,InfluenzaA,INF_A,2009-10-01,9679.0,25550.0
China,InfluenzaA,InfluenzaA,INF_A,2009-11-01,20845.0,39908.0
China,InfluenzaA,InfluenzaA,INF_A,2009-12-01,11112.0,32817.0
China,InfluenzaA,InfluenzaA,INF_A,2010-01-01,3610.0,28101.0
China,InfluenzaA,InfluenzaA,INF_A,2010-02-01,816.0,19875.0
China,InfluenzaA,InfluenzaA,INF_A,2010-03-01,650.0,28653.0
China,InfluenzaA,InfluenzaA,INF_A,2010-04-01,166.0,17059.0
China,InfluenzaA,InfluenzaA,INF_A,2010-05-01,187.0,20208.0
China,InfluenzaA,InfluenzaA,INF_A,2010-06-01,171.0,13313.0
China,InfluenzaA,InfluenzaA,INF_A,2010-07-01,610.0,15505.0
China,InfluenzaA,InfluenzaA,INF_A,2010-08-01,2316.0,18730.0
China,InfluenzaA,InfluenzaA,INF_A,2010-09-01,3057.0,13550.0
China,InfluenzaA,InfluenzaA,INF_A,2010-10-01,1322.0,11972.0
China,InfluenzaA,InfluenzaA,INF_A,2010-11-01,1273.0,15115.0
China,InfluenzaA,InfluenzaA,INF_A,2010-12-01,1570.0,12713.0
China,InfluenzaA,InfluenzaA,INF_A,2011-01-01,5000.0,17257.0
China,InfluenzaA,InfluenzaA,INF_A,2011-02-01,2127.0,14168.0
China,InfluenzaA,InfluenzaA,INF_A,2011-03-01,554.0,14938.0
China,InfluenzaA,InfluenzaA,INF_A,2011-04-01,48.0,10097.0
China,InfluenzaA,InfluenzaA,INF_A,2011-05-01,24.0,11090.0
China,InfluenzaA,InfluenzaA,INF_A,2011-06-01,17.0,7107.0
China,InfluenzaA,InfluenzaA,INF_A,2011-07-01,9.0,7843.0
China,InfluenzaA,InfluenzaA,INF_A,2011-08-01,55.0,10459.0
China,InfluenzaA,InfluenzaA,INF_A,2011-09-01,60.0,8162.0
China,InfluenzaA,InfluenzaA,INF_A,2011-10-01,69.0,13256.0
China,InfluenzaA,InfluenzaA,INF_A,2011-11-01,76.0,12816.0
China,InfluenzaA,InfluenzaA,INF_A,2011-12-01,151.0,16689.0
China,InfluenzaA,InfluenzaA,INF_A,2012-01-01,517.0,23880.0
China,InfluenzaA,InfluenzaA,INF_A,2012-02-01,1506.0,24654.0
China,InfluenzaA,InfluenzaA,INF_A,2012-03-01,2868.0,24217.0
China,InfluenzaA,InfluenzaA,INF_A,2012-04-01,1551.0,15153.0
China,InfluenzaA,InfluenzaA,INF_A,2012-05-01,733.0,8145.0
China,InfluenzaA,InfluenzaA,INF_A,2012-06-01,886.0,8713.0
China,InfluenzaA,InfluenzaA,INF_A,2012-07-01,2823.0,13329.0
China,InfluenzaA,InfluenzaA,INF_A,2012-08-01,1576.0,9663.0
China,InfluenzaA,InfluenzaA,INF_A,2012-09-01,681.0,9029.0
China,InfluenzaA,InfluenzaA,INF_A,2012-10-01,255.0,15266.0
China,InfluenzaA,InfluenzaA,INF_A,2012-11-01,589.0,15515.0
China,InfluenzaA,InfluenzaA,INF_A,2012-12-01,2045.0,18341.0
China,InfluenzaA,InfluenzaA,INF_A,2013-01-01,3187.0,20993.0
China,InfluenzaA,InfluenzaA,INF_A,2013-02-01,1873.0,15450.0
China,InfluenzaA,InfluenzaA,INF_A,2013-03-01,2221.0,22136.0
China,InfluenzaA,InfluenzaA,INF_A,2013-04-01,2183.0,30766.0
China,InfluenzaA,InfluenzaA,INF_A,2013-05-01,807.0,22029.0
China,InfluenzaA,InfluenzaA,INF_A,2013-06-01,475.0,20096.0
China,InfluenzaA,InfluenzaA,INF_A,2013-07-01,586.0,24932.0
China,InfluenzaA,InfluenzaA,INF_A,2013-08-01,585.0,21795.0
China,InfluenzaA,InfluenzaA,INF_A,2013-09-01,1079.0,26510.0
China,InfluenzaA,InfluenzaA,INF_A,2013-10-01,943.0,31366.0
China,InfluenzaA,InfluenzaA,INF_A,2013-11-01,1892.0,34089.0
China,InfluenzaA,InfluenzaA,INF_A,2013-12-01,9135.0,51571.0
China,InfluenzaA,InfluenzaA,INF_A,2014-01-01,9772.0,37151.0
China,InfluenzaA,InfluenzaA,INF_A,2014-02-01,5180.0,38176.0
China,InfluenzaA,InfluenzaA,INF_A,2014-03-01,2616.0,43572.0
China,InfluenzaA,InfluenzaA,INF_A,2014-04-01,631.0,24367.0
China,InfluenzaA,InfluenzaA,INF_A,2014-05-01,753.0,23605.0
China,InfluenzaA,InfluenzaA,INF_A,2014-06-01,2684.0,29862.0
China,InfluenzaA,InfluenzaA,INF_A,2014-07-01,4442.0,25816.0
China,InfluenzaA,InfluenzaA,INF_A,2014-08-01,3471.0,23219.0
China,InfluenzaA,InfluenzaA,INF_A,2014-09-01,2066.0,30979.0
China,InfluenzaA,InfluenzaA,INF_A,2014-10-01,906.0,35333.0
China,InfluenzaA,InfluenzaA,INF_A,2014-11-01,2428.0,38291.0
China,InfluenzaA,InfluenzaA,INF_A,2014-12-01,8082.0,45012.0
China,InfluenzaA,InfluenzaA,INF_A,2015-01-01,5396.0,42854.0
China,InfluenzaA,InfluenzaA,INF_A,2015-02-01,1763.0,36048.0
China,InfluenzaA,InfluenzaA,INF_A,2015-03-01,1366.0,47578.0
