country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
China,InfluenzaB,InfluenzaB,INF_B,2005-09-01,9.0,337.0
China,InfluenzaB,InfluenzaB,INF_B,2005-10-01,75.0,3704.0
China,InfluenzaB,InfluenzaB,INF_B,2005-11-01,55.0,4755.0
China,InfluenzaB,InfluenzaB,INF_B,2005-12-01,113.0,4680.0
China,InfluenzaB,InfluenzaB,INF_B,2006-01-01,201.0,3780.0
China,InfluenzaB,InfluenzaB,INF_B,2006-02-01,319.0,3617.0
China,InfluenzaB,InfluenzaB,INF_B,2006-03-01,743.0,5294.0
China,InfluenzaB,InfluenzaB,INF_B,2006-04-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2006-05-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2006-06-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2006-07-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2006-08-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2006-09-01,8.0,598.0
China,InfluenzaB,InfluenzaB,INF_B,2006-10-01,32.0,3067.0
China,InfluenzaB,InfluenzaB,INF_B,2006-11-01,17.0,3409.0
China,InfluenzaB,InfluenzaB,INF_B,2006-12-01,103.0,5149.0
China,InfluenzaB,InfluenzaB,INF_B,2007-01-01,206.0,7255.0
China,InfluenzaB,InfluenzaB,INF_B,2007-02-01,57.0,2679.0
China,InfluenzaB,InfluenzaB,INF_B,2007-03-01,201.0,3171.0
China,InfluenzaB,InfluenzaB,INF_B,2007-04-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2007-05-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2007-06-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2007-07-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2007-08-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2007-09-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2007-10-01,90.0,1750.0
China,InfluenzaB,InfluenzaB,INF_B,2007-11-01,153.0,2215.0
China,InfluenzaB,InfluenzaB,INF_B,2007-12-01,387.0,3409.0
China,InfluenzaB,InfluenzaB,INF_B,2008-01-01,474.0,2924.0
China,InfluenzaB,InfluenzaB,INF_B,2008-02-01,174.0,1459.0
China,InfluenzaB,InfluenzaB,INF_B,2008-03-01,429.0,3978.0
China,InfluenzaB,InfluenzaB,INF_B,2008-04-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2008-05-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2008-06-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2008-07-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2008-08-01,0.0,0.0
China,InfluenzaB,InfluenzaB,INF_B,2008-09-01,3.0,375.0
China,InfluenzaB,InfluenzaB,INF_B,2008-10-01,40.0,4480.0
China,InfluenzaB,InfluenzaB,INF_B,2008-11-01,56.0,4901.0
China,InfluenzaB,InfluenzaB,INF_B,2008-12-01,154.0,6959.0
China,InfluenzaB,InfluenzaB,INF_B,2009-01-01,122.0,4054.0
China,InfluenzaB,InfluenzaB,INF_B,2009-02-01,146.0,4254.0
China,InfluenzaB,InfluenzaB,INF_B,2009-03-01,443.0,4835.0
China,InfluenzaB,InfluenzaB,INF_B,2009-04-01,424.0,3050.0
China,InfluenzaB,InfluenzaB,INF_B,2009-05-01,287.0,2219.0
China,InfluenzaB,InfluenzaB,INF_B,2009-06-01,176.0,8318.0
China,InfluenzaB,InfluenzaB,INF_B,2009-07-01,201.0,12756.0
China,InfluenzaB,InfluenzaB,INF_B,2009-08-01,292.0,21956.0
China,InfluenzaB,InfluenzaB,INF_B,2009-09-01,364.0,30882.0
China,InfluenzaB,InfluenzaB,INF_B,2009-10-01,218.0,25550.0
China,InfluenzaB,InfluenzaB,INF_B,2009-11-01,192.0,39908.0
China,InfluenzaB,InfluenzaB,INF_B,2009-12-01,1161.0,32817.0
China,InfluenzaB,InfluenzaB,INF_B,2010-01-01,4662.0,28101.0
China,InfluenzaB,InfluenzaB,INF_B,2010-02-01,4047.0,19875.0
China,InfluenzaB,InfluenzaB,INF_B,2010-03-01,5693.0,28653.0
China,InfluenzaB,InfluenzaB,INF_B,2010-04-01,2130.0,17059.0
China,InfluenzaB,InfluenzaB,INF_B,2010-05-01,1169.0,20208.0
China,InfluenzaB,InfluenzaB,INF_B,2010-06-01,366.0,13313.0
China,InfluenzaB,InfluenzaB,INF_B,2010-07-01,452.0,15505.0
China,InfluenzaB,InfluenzaB,INF_B,2010-08-01,342.0,18730.0
China,InfluenzaB,InfluenzaB,INF_B,2010-09-01,189.0,13550.0
China,InfluenzaB,InfluenzaB,INF_B,2010-10-01,153.0,11972.0
China,InfluenzaB,InfluenzaB,INF_B,2010-11-01,241.0,15115.0
China,InfluenzaB,InfluenzaB,INF_B,2010-12-01,190.0,12713.0
China,InfluenzaB,InfluenzaB,INF_B,2011-01-01,314.0,17257.0
China,InfluenzaB,InfluenzaB,INF_B,2011-02-01,707.0,14168.0
China,InfluenzaB,InfluenzaB,INF_B,2011-03-01,1080.0,14938.0
China,InfluenzaB,InfluenzaB,INF_B,2011-04-01,751.0,10097.0
China,InfluenzaB,InfluenzaB,INF_B,2011-05-01,494.0,11090.0
China,InfluenzaB,InfluenzaB,INF_B,2011-06-01,126.0,7107.0
China,InfluenzaB,InfluenzaB,INF_B,2011-07-01,147.0,7843.0
China,InfluenzaB,InfluenzaB,INF_B,2011-08-01,248.0,10459.0
China,InfluenzaB,InfluenzaB,INF_B,2011-09-01,165.0,8162.0
China,InfluenzaB,InfluenzaB,INF_B,2011-10-01,249.0,13256.0
China,InfluenzaB,InfluenzaB,INF_B,2011-11-01,554.0,12816.0
China,InfluenzaB,InfluenzaB,INF_B,2011-12-01,1878.0,16689.0
China,InfluenzaB,InfluenzaB,INF_B,2012-01-01,5405.0,23880.0
China,InfluenzaB,InfluenzaB,INF_B,2012-02-01,7707.0,24654.0
