country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Ecuador,Adenovirus,Adenovirus,ADENO,2007-05-01,0.0,163.0
Ecuador,Adenovirus,Adenovirus,ADENO,2007-06-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2007-07-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2007-08-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2007-09-01,0.0,168.0
Ecuador,Adenovirus,Adenovirus,ADENO,2007-10-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2007-11-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2007-12-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2008-01-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2008-02-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2008-03-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2008-04-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2008-05-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2008-06-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2008-07-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2008-08-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2008-09-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2008-10-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2008-11-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2008-12-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2009-01-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2009-02-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2009-03-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2009-04-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2009-05-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2009-06-01,0.0,720.0
Ecuador,Adenovirus,Adenovirus,ADENO,2009-07-01,0.0,1636.0
Ecuador,Adenovirus,Adenovirus,ADENO,2009-08-01,0.0,1478.0
Ecuador,Adenovirus,Adenovirus,ADENO,2009-09-01,0.0,698.0
Ecuador,Adenovirus,Adenovirus,ADENO,2009-10-01,0.0,0.0
Ecuador,Adenovirus,Adenovirus,ADENO,2009-11-01,0.0,102.0
Ecuador,Adenovirus,Adenovirus,ADENO,2009-12-01,0.0,98.0
Ecuador,Adenovirus,Adenovirus,ADENO,2010-01-01,0.0,627.0
Ecuador,Adenovirus,Adenovirus,ADENO,2010-02-01,0.0,1117.0
Ecuador,Adenovirus,Adenovirus,ADENO,2010-03-01,0.0,1061.0
Ecuador,Adenovirus,Adenovirus,ADENO,2010-04-01,0.0,990.0
Ecuador,Adenovirus,Adenovirus,ADENO,2010-05-01,0.0,758.0
Ecuador,Adenovirus,Adenovirus,ADENO,2010-06-01,0.0,384.0
Ecuador,Adenovirus,Adenovirus,ADENO,2010-07-01,0.0,404.0
Ecuador,Adenovirus,Adenovirus,ADENO,2010-08-01,0.0,232.0
Ecuador,Adenovirus,Adenovirus,ADENO,2010-09-01,0.0,167.0
