country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Ecuador,InfluenzaA,InfluenzaA,INF_A,2007-05-01,20.0,163.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2007-06-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2007-07-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2007-08-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2007-09-01,20.0,168.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2007-10-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2007-11-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2007-12-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2008-01-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2008-02-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2008-03-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2008-04-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2008-05-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2008-06-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2008-07-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2008-08-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2008-09-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2008-10-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2008-11-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2008-12-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2009-01-01,16.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2009-02-01,44.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2009-03-01,5.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2009-04-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2009-05-01,62.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2009-06-01,229.0,720.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2009-07-01,504.0,1636.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2009-08-01,366.0,1478.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2009-09-01,189.0,698.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2009-10-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2009-11-01,36.0,102.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2009-12-01,24.0,98.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2010-01-01,117.0,627.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2010-02-01,148.0,1117.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2010-03-01,76.0,1061.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2010-04-01,11.0,990.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2010-05-01,11.0,758.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2010-06-01,10.0,384.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2010-07-01,0.0,404.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2010-08-01,1.0,232.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2010-09-01,0.0,167.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2010-10-01,0.0,0.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2010-11-01,0.0,26.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2010-12-01,85.0,279.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2011-01-01,598.0,1679.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2011-02-01,96.0,620.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2011-03-01,2.0,304.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2011-04-01,0.0,302.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2011-05-01,0.0,398.0
Ecuador,InfluenzaA,InfluenzaA,INF_A,2011-06-01,0.0,206.0
