country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
El Salvador,Adenovirus,Adenovirus,ADENO,2006-01-01,0.0,42.0
El Salvador,Adenovirus,Adenovirus,ADENO,2006-02-01,0.0,32.0
El Salvador,Adenovirus,Adenovirus,ADENO,2006-03-01,0.0,106.0
El Salvador,Adenovirus,Adenovirus,ADENO,2006-04-01,0.0,33.0
El Salvador,Adenovirus,Adenovirus,ADENO,2006-05-01,0.0,7.0
El Salvador,Adenovirus,Adenovirus,ADENO,2006-06-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2006-07-01,0.0,63.0
El Salvador,Adenovirus,Adenovirus,ADENO,2006-08-01,0.0,36.0
El Salvador,Adenovirus,Adenovirus,ADENO,2006-09-01,0.0,37.0
El Salvador,Adenovirus,Adenovirus,ADENO,2006-10-01,0.0,42.0
El Salvador,Adenovirus,Adenovirus,ADENO,2006-11-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2006-12-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2007-01-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2007-02-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2007-03-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2007-04-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2007-05-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2007-06-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2007-07-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2007-08-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2007-09-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2007-10-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2007-11-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2007-12-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2008-01-01,0.0,41.0
El Salvador,Adenovirus,Adenovirus,ADENO,2008-02-01,0.0,46.0
El Salvador,Adenovirus,Adenovirus,ADENO,2008-03-01,0.0,54.0
El Salvador,Adenovirus,Adenovirus,ADENO,2008-04-01,0.0,53.0
El Salvador,Adenovirus,Adenovirus,ADENO,2008-05-01,0.0,59.0
El Salvador,Adenovirus,Adenovirus,ADENO,2008-06-01,0.0,93.0
El Salvador,Adenovirus,Adenovirus,ADENO,2008-07-01,0.0,23.0
El Salvador,Adenovirus,Adenovirus,ADENO,2008-08-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2008-09-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2008-10-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2008-11-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2008-12-01,0.0,13.0
El Salvador,Adenovirus,Adenovirus,ADENO,2009-01-01,0.0,55.0
El Salvador,Adenovirus,Adenovirus,ADENO,2009-02-01,0.0,58.0
El Salvador,Adenovirus,Adenovirus,ADENO,2009-03-01,0.0,47.0
El Salvador,Adenovirus,Adenovirus,ADENO,2009-04-01,0.0,114.0
El Salvador,Adenovirus,Adenovirus,ADENO,2009-05-01,0.0,255.0
El Salvador,Adenovirus,Adenovirus,ADENO,2009-06-01,0.0,965.0
El Salvador,Adenovirus,Adenovirus,ADENO,2009-07-01,0.0,725.0
El Salvador,Adenovirus,Adenovirus,ADENO,2009-08-01,0.0,311.0
El Salvador,Adenovirus,Adenovirus,ADENO,2009-09-01,0.0,142.0
El Salvador,Adenovirus,Adenovirus,ADENO,2009-10-01,0.0,186.0
El Salvador,Adenovirus,Adenovirus,ADENO,2009-11-01,0.0,47.0
El Salvador,Adenovirus,Adenovirus,ADENO,2009-12-01,0.0,0.0
El Salvador,Adenovirus,Adenovirus,ADENO,2010-01-01,0.0,75.0
El Salvador,Adenovirus,Adenovirus,ADENO,2010-02-01,0.0,54.0
El Salvador,Adenovirus,Adenovirus,ADENO,2010-03-01,0.0,95.0
El Salvador,Adenovirus,Adenovirus,ADENO,2010-04-01,0.0,79.0
El Salvador,Adenovirus,Adenovirus,ADENO,2010-05-01,0.0,185.0
El Salvador,Adenovirus,Adenovirus,ADENO,2010-06-01,0.0,182.0
El Salvador,Adenovirus,Adenovirus,ADENO,2010-07-01,0.0,321.0
El Salvador,Adenovirus,Adenovirus,ADENO,2010-08-01,0.0,454.0
El Salvador,Adenovirus,Adenovirus,ADENO,2010-09-01,0.0,176.0
El Salvador,Adenovirus,Adenovirus,ADENO,2010-10-01,0.0,327.0
El Salvador,Adenovirus,Adenovirus,ADENO,2010-11-01,0.0,293.0
El Salvador,Adenovirus,Adenovirus,ADENO,2010-12-01,0.0,34.0
El Salvador,Adenovirus,Adenovirus,ADENO,2011-01-01,0.0,183.0
El Salvador,Adenovirus,Adenovirus,ADENO,2011-02-01,0.0,151.0
El Salvador,Adenovirus,Adenovirus,ADENO,2011-03-01,0.0,167.0
El Salvador,Adenovirus,Adenovirus,ADENO,2011-04-01,0.0,130.0
El Salvador,Adenovirus,Adenovirus,ADENO,2011-05-01,0.0,187.0
El Salvador,Adenovirus,Adenovirus,ADENO,2011-06-01,0.0,207.0
El Salvador,Adenovirus,Adenovirus,ADENO,2011-07-01,0.0,188.0
El Salvador,Adenovirus,Adenovirus,ADENO,2011-08-01,0.0,192.0
El Salvador,Adenovirus,Adenovirus,ADENO,2011-09-01,0.0,112.0
El Salvador,Adenovirus,Adenovirus,ADENO,2011-10-01,0.0,153.0
El Salvador,Adenovirus,Adenovirus,ADENO,2011-11-01,0.0,135.0
El Salvador,Adenovirus,Adenovirus,ADENO,2011-12-01,0.0,98.0
El Salvador,Adenovirus,Adenovirus,ADENO,2012-01-01,0.0,138.0
El Salvador,Adenovirus,Adenovirus,ADENO,2012-02-01,0.0,152.0
El Salvador,Adenovirus,Adenovirus,ADENO,2012-03-01,0.0,164.0
El Salvador,Adenovirus,Adenovirus,ADENO,2012-04-01,0.0,193.0
El Salvador,Adenovirus,Adenovirus,ADENO,2012-05-01,0.0,203.0
El Salvador,Adenovirus,Adenovirus,ADENO,2012-06-01,0.0,288.0
El Salvador,Adenovirus,Adenovirus,ADENO,2012-07-01,0.0,532.0
El Salvador,Adenovirus,Adenovirus,ADENO,2012-08-01,0.0,318.0
El Salvador,Adenovirus,Adenovirus,ADENO,2012-09-01,0.0,298.0
El Salvador,Adenovirus,Adenovirus,ADENO,2012-10-01,0.0,212.0
El Salvador,Adenovirus,Adenovirus,ADENO,2012-11-01,0.0,138.0
El Salvador,Adenovirus,Adenovirus,ADENO,2012-12-01,0.0,115.0
El Salvador,Adenovirus,Adenovirus,ADENO,2013-01-01,0.0,126.0
El Salvador,Adenovirus,Adenovirus,ADENO,2013-02-01,0.0,164.0
El Salvador,Adenovirus,Adenovirus,ADENO,2013-03-01,0.0,155.0
El Salvador,Adenovirus,Adenovirus,ADENO,2013-04-01,0.0,208.0
El Salvador,Adenovirus,Adenovirus,ADENO,2013-05-01,0.0,244.0
El Salvador,Adenovirus,Adenovirus,ADENO,2013-06-01,0.0,342.0
El Salvador,Adenovirus,Adenovirus,ADENO,2013-07-01,0.0,386.0
El Salvador,Adenovirus,Adenovirus,ADENO,2013-08-01,0.0,237.0
El Salvador,Adenovirus,Adenovirus,ADENO,2013-09-01,0.0,240.0
El Salvador,Adenovirus,Adenovirus,ADENO,2013-10-01,0.0,140.0
El Salvador,Adenovirus,Adenovirus,ADENO,2013-11-01,0.0,114.0
El Salvador,Adenovirus,Adenovirus,ADENO,2013-12-01,0.0,117.0
El Salvador,Adenovirus,Adenovirus,ADENO,2014-01-01,0.0,117.0
El Salvador,Adenovirus,Adenovirus,ADENO,2014-02-01,0.0,166.0
El Salvador,Adenovirus,Adenovirus,ADENO,2014-03-01,0.0,185.0
El Salvador,Adenovirus,Adenovirus,ADENO,2014-04-01,0.0,124.0
El Salvador,Adenovirus,Adenovirus,ADENO,2014-05-01,0.0,140.0
El Salvador,Adenovirus,Adenovirus,ADENO,2014-06-01,0.0,218.0
El Salvador,Adenovirus,Adenovirus,ADENO,2014-07-01,0.0,147.0
El Salvador,Adenovirus,Adenovirus,ADENO,2014-08-01,0.0,136.0
El Salvador,Adenovirus,Adenovirus,ADENO,2014-09-01,0.0,137.0
El Salvador,Adenovirus,Adenovirus,ADENO,2014-10-01,0.0,201.0
El Salvador,Adenovirus,Adenovirus,ADENO,2014-11-01,0.0,155.0
El Salvador,Adenovirus,Adenovirus,ADENO,2014-12-01,0.0,123.0
El Salvador,Adenovirus,Adenovirus,ADENO,2015-01-01,4.0,113.0
El Salvador,Adenovirus,Adenovirus,ADENO,2015-02-01,1.0,135.0
El Salvador,Adenovirus,Adenovirus,ADENO,2015-03-01,2.0,159.0
El Salvador,Adenovirus,Adenovirus,ADENO,2015-04-01,0.0,133.0
El Salvador,Adenovirus,Adenovirus,ADENO,2015-05-01,8.0,126.0
El Salvador,Adenovirus,Adenovirus,ADENO,2015-06-01,4.0,177.0
El Salvador,Adenovirus,Adenovirus,ADENO,2015-07-01,0.0,193.0
El Salvador,Adenovirus,Adenovirus,ADENO,2015-08-01,0.0,171.0
El Salvador,Adenovirus,Adenovirus,ADENO,2015-09-01,2.0,148.0
El Salvador,Adenovirus,Adenovirus,ADENO,2015-10-01,2.0,122.0
El Salvador,Adenovirus,Adenovirus,ADENO,2015-11-01,0.0,153.0
El Salvador,Adenovirus,Adenovirus,ADENO,2015-12-01,0.0,64.0
El Salvador,Adenovirus,Adenovirus,ADENO,2016-01-01,6.0,136.0
El Salvador,Adenovirus,Adenovirus,ADENO,2016-02-01,3.0,201.0
El Salvador,Adenovirus,Adenovirus,ADENO,2016-03-01,1.0,168.0
