country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Estonia,InfluenzaB,InfluenzaB,INF_B,2007-12-01,0.0,3.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2008-01-01,1.0,112.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2008-02-01,2.0,220.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2008-03-01,4.0,105.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2008-04-01,0.0,0.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2008-05-01,0.0,231.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2008-06-01,0.0,272.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2008-07-01,0.0,70.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2008-08-01,0.0,162.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2008-09-01,0.0,290.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2008-10-01,0.0,221.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2008-11-01,0.0,278.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2008-12-01,1.0,195.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2009-01-01,10.0,355.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2009-02-01,55.0,487.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2009-03-01,140.0,586.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2009-04-01,21.0,168.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2009-05-01,8.0,93.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2009-06-01,2.0,166.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2009-07-01,0.0,191.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2009-08-01,0.0,206.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2009-09-01,0.0,107.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2009-10-01,1.0,124.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2009-11-01,18.0,1484.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2009-12-01,1.0,802.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2010-01-01,0.0,487.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2010-02-01,1.0,301.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2010-03-01,2.0,331.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2010-04-01,1.0,174.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2010-05-01,0.0,121.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2010-06-01,0.0,28.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2010-07-01,0.0,40.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2010-08-01,0.0,11.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2010-09-01,0.0,40.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2010-10-01,0.0,152.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2010-11-01,1.0,230.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2010-12-01,3.0,311.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2011-01-01,52.0,1825.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2011-02-01,31.0,1230.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2011-03-01,33.0,740.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2011-04-01,23.0,430.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2011-05-01,1.0,171.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2011-06-01,0.0,64.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2011-07-01,0.0,40.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2011-08-01,0.0,48.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2011-09-01,0.0,127.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2011-10-01,0.0,186.0
Estonia,InfluenzaB,InfluenzaB,INF_B,2011-11-01,0.0,220.0
