country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2010-01-01,10.0,28.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2010-02-01,2.0,29.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2010-03-01,1.0,52.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2010-04-01,1.0,59.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2010-05-01,0.0,9.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2010-06-01,0.0,16.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2010-07-01,0.0,10.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2010-08-01,0.0,34.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2010-09-01,2.0,8.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2010-10-01,2.0,17.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2010-11-01,18.0,35.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2010-12-01,0.0,8.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2011-01-01,0.0,6.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2011-02-01,1.0,8.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2011-03-01,1.0,24.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2011-04-01,0.0,14.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2011-05-01,0.0,17.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2011-06-01,2.0,11.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2011-07-01,0.0,5.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2011-08-01,0.0,7.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2011-09-01,0.0,5.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2011-10-01,2.0,8.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2011-11-01,0.0,4.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2011-12-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2012-01-01,3.0,6.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2012-02-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2012-03-01,11.0,61.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2012-04-01,15.0,84.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2012-05-01,9.0,62.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2012-06-01,3.0,48.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2012-07-01,10.0,93.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2012-08-01,2.0,49.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2012-09-01,11.0,61.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2012-10-01,40.0,137.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2012-11-01,57.0,140.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2012-12-01,19.0,124.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2013-01-01,7.0,60.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2013-02-01,6.0,66.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2013-03-01,21.0,159.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2013-04-01,20.0,111.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2013-05-01,9.0,65.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2013-06-01,4.0,33.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2013-07-01,6.0,74.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2013-08-01,2.0,42.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2013-09-01,25.0,125.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2013-10-01,26.0,112.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2013-11-01,42.0,153.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2013-12-01,16.0,74.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2014-01-01,14.0,63.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2014-02-01,7.0,64.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2014-03-01,0.0,40.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2014-04-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2014-05-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2014-06-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2014-07-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2014-08-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2014-09-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2014-10-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2014-11-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2014-12-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2015-01-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2015-02-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2015-03-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2015-04-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2015-05-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2015-06-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2015-07-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2015-08-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2015-09-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2015-10-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2015-11-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2015-12-01,0.0,0.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2016-01-01,35.0,58.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2016-02-01,52.0,141.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2016-03-01,29.0,100.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2016-04-01,15.0,116.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2016-05-01,4.0,80.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2016-06-01,2.0,73.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2016-07-01,4.0,28.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2016-08-01,4.0,43.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2016-09-01,13.0,80.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2016-10-01,11.0,53.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2016-11-01,17.0,91.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2016-12-01,2.0,64.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2017-01-01,3.0,84.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2017-02-01,9.0,88.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2017-03-01,5.0,134.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2017-04-01,0.0,71.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2017-05-01,0.0,48.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2017-06-01,3.0,44.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2017-07-01,9.0,45.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2017-08-01,5.0,35.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2017-09-01,11.0,46.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2017-10-01,8.0,86.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2017-11-01,4.0,101.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2017-12-01,17.0,106.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2018-01-01,14.0,100.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2018-02-01,14.0,66.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2018-03-01,5.0,62.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2018-04-01,14.0,76.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2018-05-01,5.0,61.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2018-06-01,16.0,64.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2018-07-01,23.0,105.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2018-08-01,18.0,92.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2018-09-01,11.0,46.0
Ethiopia,InfluenzaA,InfluenzaA,INF_A,2018-10-01,10.0,96.0
