country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
France,InfluenzaA,InfluenzaA,INF_A,1996-12-01,152.0,649.0
France,InfluenzaA,InfluenzaA,INF_A,1997-01-01,279.0,2730.0
France,InfluenzaA,InfluenzaA,INF_A,1997-02-01,27.0,1025.0
France,InfluenzaA,InfluenzaA,INF_A,1997-03-01,3.0,866.0
France,InfluenzaA,InfluenzaA,INF_A,1997-04-01,0.0,0.0
France,InfluenzaA,InfluenzaA,INF_A,1997-05-01,0.0,0.0
France,InfluenzaA,InfluenzaA,INF_A,1997-06-01,0.0,0.0
France,InfluenzaA,InfluenzaA,INF_A,1997-07-01,0.0,0.0
France,InfluenzaA,InfluenzaA,INF_A,1997-08-01,0.0,0.0
France,InfluenzaA,InfluenzaA,INF_A,1997-09-01,0.0,239.0
France,InfluenzaA,InfluenzaA,INF_A,1997-10-01,1.0,1756.0
France,InfluenzaA,InfluenzaA,INF_A,1997-11-01,3.0,2860.0
France,InfluenzaA,InfluenzaA,INF_A,1997-12-01,18.0,2893.0
France,InfluenzaA,InfluenzaA,INF_A,1998-01-01,84.0,1735.0
France,InfluenzaA,InfluenzaA,INF_A,1998-02-01,448.0,2009.0
France,InfluenzaA,InfluenzaA,INF_A,1998-03-01,312.0,1960.0
France,InfluenzaA,InfluenzaA,INF_A,1998-04-01,51.0,219.0
France,InfluenzaA,InfluenzaA,INF_A,1998-05-01,0.0,0.0
France,InfluenzaA,InfluenzaA,INF_A,1998-06-01,0.0,0.0
France,InfluenzaA,InfluenzaA,INF_A,1998-07-01,0.0,0.0
France,InfluenzaA,InfluenzaA,INF_A,1998-08-01,0.0,0.0
France,InfluenzaA,InfluenzaA,INF_A,1998-09-01,1.0,790.0
France,InfluenzaA,InfluenzaA,INF_A,1998-10-01,4.0,2855.0
France,InfluenzaA,InfluenzaA,INF_A,1998-11-01,26.0,6010.0
France,InfluenzaA,InfluenzaA,INF_A,1998-12-01,172.0,7265.0
France,InfluenzaA,InfluenzaA,INF_A,1999-01-01,1797.0,7171.0
France,InfluenzaA,InfluenzaA,INF_A,1999-02-01,410.0,4164.0
France,InfluenzaA,InfluenzaA,INF_A,1999-03-01,152.0,1164.0
France,InfluenzaA,InfluenzaA,INF_A,1999-04-01,4.0,332.0
France,InfluenzaA,InfluenzaA,INF_A,1999-05-01,0.0,0.0
France,InfluenzaA,InfluenzaA,INF_A,1999-06-01,0.0,0.0
France,InfluenzaA,InfluenzaA,INF_A,1999-07-01,0.0,0.0
France,InfluenzaA,InfluenzaA,INF_A,1999-08-01,0.0,0.0
France,InfluenzaA,InfluenzaA,INF_A,1999-09-01,5.0,811.0
France,InfluenzaA,InfluenzaA,INF_A,1999-10-01,9.0,2651.0
France,InfluenzaA,InfluenzaA,INF_A,1999-11-01,164.0,6692.0
France,InfluenzaA,InfluenzaA,INF_A,1999-12-01,695.0,7818.0
