country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Georgia,InfluenzaB,InfluenzaB,INF_B,2009-04-01,4.0,26.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2009-05-01,1.0,28.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2009-06-01,0.0,77.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2009-07-01,1.0,141.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2009-08-01,0.0,210.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2009-09-01,0.0,199.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2009-10-01,0.0,206.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2009-11-01,0.0,878.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2009-12-01,0.0,1402.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2010-01-01,0.0,521.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2010-02-01,0.0,501.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2010-03-01,0.0,267.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2010-04-01,1.0,161.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2010-05-01,0.0,203.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2010-06-01,5.0,105.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2010-07-01,0.0,0.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2010-08-01,0.0,19.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2010-09-01,1.0,114.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2010-10-01,14.0,154.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2010-11-01,12.0,153.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2010-12-01,2.0,157.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2011-01-01,30.0,733.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2011-02-01,222.0,506.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2011-03-01,112.0,314.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2011-04-01,24.0,171.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2011-05-01,0.0,138.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2011-06-01,0.0,73.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2011-07-01,0.0,73.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2011-08-01,0.0,61.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2011-09-01,0.0,66.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2011-10-01,0.0,84.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2011-11-01,0.0,92.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2011-12-01,0.0,89.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2012-01-01,0.0,106.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2012-02-01,6.0,123.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2012-03-01,2.0,168.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2012-04-01,4.0,115.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2012-05-01,1.0,55.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2012-06-01,0.0,32.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2012-07-01,0.0,43.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2012-08-01,0.0,20.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2012-09-01,0.0,25.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2012-10-01,0.0,54.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2012-11-01,0.0,56.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2012-12-01,4.0,83.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2013-01-01,0.0,107.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2013-02-01,9.0,274.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2013-03-01,25.0,108.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2013-04-01,32.0,55.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2013-05-01,10.0,43.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2013-06-01,0.0,46.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2013-07-01,0.0,34.0
Georgia,InfluenzaB,InfluenzaB,INF_B,2013-08-01,0.0,27.0
