country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Haiti,Adenovirus,Adenovirus,ADENO,2015-10-01,0.0,90.0
Haiti,Adenovirus,Adenovirus,ADENO,2015-11-01,0.0,118.0
Haiti,Adenovirus,Adenovirus,ADENO,2015-12-01,0.0,92.0
Haiti,Adenovirus,Adenovirus,ADENO,2016-01-01,0.0,0.0
Haiti,Adenovirus,Adenovirus,ADENO,2016-02-01,0.0,0.0
Haiti,Adenovirus,Adenovirus,ADENO,2016-03-01,0.0,0.0
Haiti,Adenovirus,Adenovirus,ADENO,2016-04-01,0.0,0.0
Haiti,Adenovirus,Adenovirus,ADENO,2016-05-01,0.0,0.0
Haiti,Adenovirus,Adenovirus,ADENO,2016-06-01,0.0,0.0
Haiti,Adenovirus,Adenovirus,ADENO,2016-07-01,0.0,0.0
Haiti,Adenovirus,Adenovirus,ADENO,2016-08-01,0.0,0.0
Haiti,Adenovirus,Adenovirus,ADENO,2016-09-01,0.0,19.0
Haiti,Adenovirus,Adenovirus,ADENO,2016-10-01,0.0,71.0
Haiti,Adenovirus,Adenovirus,ADENO,2016-11-01,0.0,78.0
Haiti,Adenovirus,Adenovirus,ADENO,2016-12-01,0.0,68.0
Haiti,Adenovirus,Adenovirus,ADENO,2017-01-01,0.0,58.0
Haiti,Adenovirus,Adenovirus,ADENO,2017-02-01,0.0,65.0
Haiti,Adenovirus,Adenovirus,ADENO,2017-03-01,0.0,132.0
Haiti,Adenovirus,Adenovirus,ADENO,2017-04-01,0.0,81.0
Haiti,Adenovirus,Adenovirus,ADENO,2017-05-01,0.0,55.0
Haiti,Adenovirus,Adenovirus,ADENO,2017-06-01,0.0,77.0
Haiti,Adenovirus,Adenovirus,ADENO,2017-07-01,0.0,136.0
Haiti,Adenovirus,Adenovirus,ADENO,2017-08-01,0.0,161.0
Haiti,Adenovirus,Adenovirus,ADENO,2017-09-01,0.0,170.0
Haiti,Adenovirus,Adenovirus,ADENO,2017-10-01,0.0,137.0
Haiti,Adenovirus,Adenovirus,ADENO,2017-11-01,0.0,63.0
Haiti,Adenovirus,Adenovirus,ADENO,2017-12-01,0.0,116.0
