country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Honduras,InfluenzaA,InfluenzaA,INF_A,2007-01-01,0.0,0.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2007-02-01,0.0,37.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2007-03-01,1.0,8.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2007-04-01,0.0,11.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2007-05-01,0.0,5.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2007-06-01,1.0,4.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2007-07-01,1.0,16.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2007-08-01,1.0,20.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2007-09-01,0.0,5.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2007-10-01,0.0,13.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2007-11-01,1.0,7.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2007-12-01,0.0,11.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2008-01-01,0.0,4.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2008-02-01,0.0,17.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2008-03-01,0.0,7.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2008-04-01,2.0,7.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2008-05-01,1.0,13.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2008-06-01,2.0,49.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2008-07-01,1.0,28.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2008-08-01,0.0,18.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2008-09-01,0.0,29.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2008-10-01,0.0,49.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2008-11-01,0.0,34.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2008-12-01,0.0,40.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2009-01-01,0.0,75.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2009-02-01,1.0,70.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2009-03-01,2.0,81.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2009-04-01,21.0,200.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2009-05-01,250.0,633.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2009-06-01,199.0,472.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2009-07-01,178.0,272.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2009-08-01,221.0,421.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2009-09-01,67.0,199.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2009-10-01,35.0,212.0
Honduras,InfluenzaA,InfluenzaA,INF_A,2009-11-01,28.0,163.0
