country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Indonesia,InfluenzaA,InfluenzaA,INF_A,2004-08-01,2.0,16.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2004-09-01,10.0,63.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2004-10-01,31.0,195.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2004-11-01,75.0,324.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2004-12-01,91.0,424.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2005-01-01,86.0,712.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2005-02-01,26.0,365.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2005-03-01,12.0,372.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2005-04-01,9.0,289.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2005-05-01,2.0,261.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2005-06-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2005-07-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2005-08-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2005-09-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2005-10-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2005-11-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2005-12-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2006-01-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2006-02-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2006-03-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2006-04-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2006-05-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2006-06-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2006-07-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2006-08-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2006-09-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2006-10-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2006-11-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2006-12-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2007-01-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2007-02-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2007-03-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2007-04-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2007-05-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2007-06-01,0.0,0.0
Indonesia,InfluenzaA,InfluenzaA,INF_A,2007-07-01,0.0,0.0
