country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Israel,InfluenzaA,InfluenzaA,INF_A,1997-01-01,21.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1997-02-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1997-03-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1997-04-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1997-05-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1997-06-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1997-07-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1997-08-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1997-09-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1997-10-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1997-11-01,2.0,2.0
Israel,InfluenzaA,InfluenzaA,INF_A,1997-12-01,88.0,184.0
Israel,InfluenzaA,InfluenzaA,INF_A,1998-01-01,127.0,256.0
Israel,InfluenzaA,InfluenzaA,INF_A,1998-02-01,19.0,115.0
Israel,InfluenzaA,InfluenzaA,INF_A,1998-03-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1998-04-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1998-05-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1998-06-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1998-07-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1998-08-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1998-09-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1998-10-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1998-11-01,11.0,248.0
Israel,InfluenzaA,InfluenzaA,INF_A,1998-12-01,39.0,283.0
Israel,InfluenzaA,InfluenzaA,INF_A,1999-01-01,99.0,290.0
Israel,InfluenzaA,InfluenzaA,INF_A,1999-02-01,81.0,230.0
Israel,InfluenzaA,InfluenzaA,INF_A,1999-03-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1999-04-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1999-05-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1999-06-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1999-07-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1999-08-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1999-09-01,0.0,0.0
Israel,InfluenzaA,InfluenzaA,INF_A,1999-10-01,0.0,0.0
