country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Jordan,Adenovirus,Adenovirus,ADENO,2010-11-01,0.0,26.0
Jordan,Adenovirus,Adenovirus,ADENO,2010-12-01,0.0,103.0
Jordan,Adenovirus,Adenovirus,ADENO,2011-01-01,0.0,96.0
Jordan,Adenovirus,Adenovirus,ADENO,2011-02-01,0.0,50.0
Jordan,Adenovirus,Adenovirus,ADENO,2011-03-01,0.0,51.0
Jordan,Adenovirus,Adenovirus,ADENO,2011-04-01,0.0,45.0
Jordan,Adenovirus,Adenovirus,ADENO,2011-05-01,0.0,58.0
Jordan,Adenovirus,Adenovirus,ADENO,2011-06-01,0.0,46.0
Jordan,Adenovirus,Adenovirus,ADENO,2011-07-01,0.0,41.0
Jordan,Adenovirus,Adenovirus,ADENO,2011-08-01,0.0,8.0
Jordan,Adenovirus,Adenovirus,ADENO,2011-09-01,0.0,54.0
Jordan,Adenovirus,Adenovirus,ADENO,2011-10-01,0.0,72.0
Jordan,Adenovirus,Adenovirus,ADENO,2011-11-01,0.0,57.0
Jordan,Adenovirus,Adenovirus,ADENO,2011-12-01,0.0,119.0
Jordan,Adenovirus,Adenovirus,ADENO,2012-01-01,0.0,152.0
Jordan,Adenovirus,Adenovirus,ADENO,2012-02-01,0.0,108.0
Jordan,Adenovirus,Adenovirus,ADENO,2012-03-01,0.0,101.0
Jordan,Adenovirus,Adenovirus,ADENO,2012-04-01,0.0,125.0
Jordan,Adenovirus,Adenovirus,ADENO,2012-05-01,0.0,110.0
Jordan,Adenovirus,Adenovirus,ADENO,2012-06-01,0.0,51.0
Jordan,Adenovirus,Adenovirus,ADENO,2012-07-01,0.0,20.0
Jordan,Adenovirus,Adenovirus,ADENO,2012-08-01,0.0,25.0
Jordan,Adenovirus,Adenovirus,ADENO,2012-09-01,0.0,89.0
Jordan,Adenovirus,Adenovirus,ADENO,2012-10-01,0.0,95.0
Jordan,Adenovirus,Adenovirus,ADENO,2012-11-01,0.0,58.0
Jordan,Adenovirus,Adenovirus,ADENO,2012-12-01,0.0,158.0
Jordan,Adenovirus,Adenovirus,ADENO,2013-01-01,0.0,166.0
Jordan,Adenovirus,Adenovirus,ADENO,2013-02-01,0.0,187.0
Jordan,Adenovirus,Adenovirus,ADENO,2013-03-01,0.0,158.0
Jordan,Adenovirus,Adenovirus,ADENO,2013-04-01,0.0,157.0
Jordan,Adenovirus,Adenovirus,ADENO,2013-05-01,0.0,59.0
Jordan,Adenovirus,Adenovirus,ADENO,2013-06-01,0.0,71.0
Jordan,Adenovirus,Adenovirus,ADENO,2013-07-01,0.0,66.0
Jordan,Adenovirus,Adenovirus,ADENO,2013-08-01,0.0,40.0
Jordan,Adenovirus,Adenovirus,ADENO,2013-09-01,0.0,78.0
Jordan,Adenovirus,Adenovirus,ADENO,2013-10-01,0.0,67.0
Jordan,Adenovirus,Adenovirus,ADENO,2013-11-01,0.0,148.0
Jordan,Adenovirus,Adenovirus,ADENO,2013-12-01,0.0,119.0
Jordan,Adenovirus,Adenovirus,ADENO,2014-01-01,0.0,124.0
Jordan,Adenovirus,Adenovirus,ADENO,2014-02-01,0.0,159.0
Jordan,Adenovirus,Adenovirus,ADENO,2014-03-01,0.0,117.0
Jordan,Adenovirus,Adenovirus,ADENO,2014-04-01,0.0,115.0
Jordan,Adenovirus,Adenovirus,ADENO,2014-05-01,0.0,83.0
Jordan,Adenovirus,Adenovirus,ADENO,2014-06-01,0.0,76.0
Jordan,Adenovirus,Adenovirus,ADENO,2014-07-01,0.0,18.0
Jordan,Adenovirus,Adenovirus,ADENO,2014-08-01,0.0,33.0
Jordan,Adenovirus,Adenovirus,ADENO,2014-09-01,0.0,66.0
Jordan,Adenovirus,Adenovirus,ADENO,2014-10-01,0.0,53.0
Jordan,Adenovirus,Adenovirus,ADENO,2014-11-01,0.0,62.0
Jordan,Adenovirus,Adenovirus,ADENO,2014-12-01,0.0,199.0
Jordan,Adenovirus,Adenovirus,ADENO,2015-01-01,0.0,139.0
Jordan,Adenovirus,Adenovirus,ADENO,2015-02-01,0.0,88.0
Jordan,Adenovirus,Adenovirus,ADENO,2015-03-01,0.0,474.0
Jordan,Adenovirus,Adenovirus,ADENO,2015-04-01,0.0,669.0
Jordan,Adenovirus,Adenovirus,ADENO,2015-05-01,0.0,228.0
Jordan,Adenovirus,Adenovirus,ADENO,2015-06-01,0.0,140.0
Jordan,Adenovirus,Adenovirus,ADENO,2015-07-01,0.0,42.0
Jordan,Adenovirus,Adenovirus,ADENO,2015-08-01,0.0,68.0
Jordan,Adenovirus,Adenovirus,ADENO,2015-09-01,0.0,100.0
Jordan,Adenovirus,Adenovirus,ADENO,2015-10-01,0.0,75.0
Jordan,Adenovirus,Adenovirus,ADENO,2015-11-01,0.0,91.0
Jordan,Adenovirus,Adenovirus,ADENO,2015-12-01,0.0,171.0
Jordan,Adenovirus,Adenovirus,ADENO,2016-01-01,0.0,660.0
Jordan,Adenovirus,Adenovirus,ADENO,2016-02-01,0.0,628.0
Jordan,Adenovirus,Adenovirus,ADENO,2016-03-01,0.0,403.0
Jordan,Adenovirus,Adenovirus,ADENO,2016-04-01,0.0,242.0
Jordan,Adenovirus,Adenovirus,ADENO,2016-05-01,0.0,86.0
Jordan,Adenovirus,Adenovirus,ADENO,2016-06-01,0.0,68.0
Jordan,Adenovirus,Adenovirus,ADENO,2016-07-01,0.0,39.0
Jordan,Adenovirus,Adenovirus,ADENO,2016-08-01,0.0,63.0
Jordan,Adenovirus,Adenovirus,ADENO,2016-09-01,0.0,44.0
Jordan,Adenovirus,Adenovirus,ADENO,2016-10-01,0.0,85.0
Jordan,Adenovirus,Adenovirus,ADENO,2016-11-01,0.0,200.0
Jordan,Adenovirus,Adenovirus,ADENO,2016-12-01,0.0,318.0
Jordan,Adenovirus,Adenovirus,ADENO,2017-01-01,0.0,402.0
Jordan,Adenovirus,Adenovirus,ADENO,2017-02-01,0.0,175.0
Jordan,Adenovirus,Adenovirus,ADENO,2017-03-01,0.0,231.0
Jordan,Adenovirus,Adenovirus,ADENO,2017-04-01,0.0,120.0
Jordan,Adenovirus,Adenovirus,ADENO,2017-05-01,0.0,57.0
Jordan,Adenovirus,Adenovirus,ADENO,2017-06-01,0.0,32.0
Jordan,Adenovirus,Adenovirus,ADENO,2017-07-01,0.0,162.0
Jordan,Adenovirus,Adenovirus,ADENO,2017-08-01,0.0,65.0
Jordan,Adenovirus,Adenovirus,ADENO,2017-09-01,0.0,78.0
Jordan,Adenovirus,Adenovirus,ADENO,2017-10-01,0.0,152.0
Jordan,Adenovirus,Adenovirus,ADENO,2017-11-01,0.0,97.0
Jordan,Adenovirus,Adenovirus,ADENO,2017-12-01,0.0,503.0
Jordan,Adenovirus,Adenovirus,ADENO,2018-01-01,0.0,694.0
Jordan,Adenovirus,Adenovirus,ADENO,2018-02-01,0.0,213.0
Jordan,Adenovirus,Adenovirus,ADENO,2018-03-01,0.0,135.0
Jordan,Adenovirus,Adenovirus,ADENO,2018-04-01,0.0,121.0
Jordan,Adenovirus,Adenovirus,ADENO,2018-05-01,0.0,84.0
Jordan,Adenovirus,Adenovirus,ADENO,2018-06-01,0.0,41.0
Jordan,Adenovirus,Adenovirus,ADENO,2018-07-01,0.0,107.0
Jordan,Adenovirus,Adenovirus,ADENO,2018-08-01,0.0,90.0
Jordan,Adenovirus,Adenovirus,ADENO,2018-09-01,0.0,208.0
Jordan,Adenovirus,Adenovirus,ADENO,2018-10-01,0.0,131.0
Jordan,Adenovirus,Adenovirus,ADENO,2018-11-01,0.0,121.0
Jordan,Adenovirus,Adenovirus,ADENO,2018-12-01,0.0,158.0
Jordan,Adenovirus,Adenovirus,ADENO,2019-01-01,0.0,112.0
Jordan,Adenovirus,Adenovirus,ADENO,2019-02-01,0.0,85.0
Jordan,Adenovirus,Adenovirus,ADENO,2019-03-01,0.0,61.0
Jordan,Adenovirus,Adenovirus,ADENO,2019-04-01,0.0,81.0
Jordan,Adenovirus,Adenovirus,ADENO,2019-05-01,0.0,51.0
Jordan,Adenovirus,Adenovirus,ADENO,2019-06-01,0.0,24.0
Jordan,Adenovirus,Adenovirus,ADENO,2019-07-01,0.0,42.0
Jordan,Adenovirus,Adenovirus,ADENO,2019-08-01,0.0,21.0
Jordan,Adenovirus,Adenovirus,ADENO,2019-09-01,0.0,121.0
Jordan,Adenovirus,Adenovirus,ADENO,2019-10-01,0.0,143.0
Jordan,Adenovirus,Adenovirus,ADENO,2019-11-01,0.0,112.0
Jordan,Adenovirus,Adenovirus,ADENO,2019-12-01,0.0,826.0
Jordan,Adenovirus,Adenovirus,ADENO,2020-01-01,0.0,770.0
Jordan,Adenovirus,Adenovirus,ADENO,2020-02-01,0.0,474.0
Jordan,Adenovirus,Adenovirus,ADENO,2020-03-01,0.0,145.0
Jordan,Adenovirus,Adenovirus,ADENO,2020-04-01,0.0,21.0
Jordan,Adenovirus,Adenovirus,ADENO,2020-05-01,0.0,31.0
Jordan,Adenovirus,Adenovirus,ADENO,2020-06-01,0.0,59.0
Jordan,Adenovirus,Adenovirus,ADENO,2020-07-01,0.0,37.0
Jordan,Adenovirus,Adenovirus,ADENO,2020-08-01,0.0,66.0
Jordan,Adenovirus,Adenovirus,ADENO,2020-09-01,0.0,65.0
Jordan,Adenovirus,Adenovirus,ADENO,2020-10-01,0.0,150.0
Jordan,Adenovirus,Adenovirus,ADENO,2020-11-01,0.0,229.0
Jordan,Adenovirus,Adenovirus,ADENO,2020-12-01,0.0,166.0
Jordan,Adenovirus,Adenovirus,ADENO,2021-01-01,0.0,255.0
Jordan,Adenovirus,Adenovirus,ADENO,2021-02-01,0.0,379.0
Jordan,Adenovirus,Adenovirus,ADENO,2021-03-01,0.0,769.0
Jordan,Adenovirus,Adenovirus,ADENO,2021-04-01,0.0,503.0
Jordan,Adenovirus,Adenovirus,ADENO,2021-05-01,0.0,400.0
Jordan,Adenovirus,Adenovirus,ADENO,2021-06-01,0.0,335.0
Jordan,Adenovirus,Adenovirus,ADENO,2021-07-01,0.0,268.0
Jordan,Adenovirus,Adenovirus,ADENO,2021-08-01,0.0,521.0
Jordan,Adenovirus,Adenovirus,ADENO,2021-09-01,0.0,413.0
Jordan,Adenovirus,Adenovirus,ADENO,2021-10-01,0.0,509.0
Jordan,Adenovirus,Adenovirus,ADENO,2021-11-01,0.0,827.0
Jordan,Adenovirus,Adenovirus,ADENO,2021-12-01,0.0,422.0
Jordan,Adenovirus,Adenovirus,ADENO,2022-01-01,0.0,632.0
Jordan,Adenovirus,Adenovirus,ADENO,2022-02-01,0.0,475.0
Jordan,Adenovirus,Adenovirus,ADENO,2022-03-01,0.0,264.0
Jordan,Adenovirus,Adenovirus,ADENO,2022-04-01,0.0,138.0
Jordan,Adenovirus,Adenovirus,ADENO,2022-05-01,0.0,217.0
Jordan,Adenovirus,Adenovirus,ADENO,2022-06-01,0.0,186.0
Jordan,Adenovirus,Adenovirus,ADENO,2022-07-01,0.0,199.0
Jordan,Adenovirus,Adenovirus,ADENO,2022-08-01,0.0,493.0
Jordan,Adenovirus,Adenovirus,ADENO,2022-09-01,0.0,342.0
Jordan,Adenovirus,Adenovirus,ADENO,2022-10-01,0.0,449.0
Jordan,Adenovirus,Adenovirus,ADENO,2022-11-01,0.0,574.0
Jordan,Adenovirus,Adenovirus,ADENO,2022-12-01,0.0,651.0
Jordan,Adenovirus,Adenovirus,ADENO,2023-01-01,0.0,474.0
Jordan,Adenovirus,Adenovirus,ADENO,2023-02-01,0.0,494.0
Jordan,Adenovirus,Adenovirus,ADENO,2023-03-01,0.0,406.0
Jordan,Adenovirus,Adenovirus,ADENO,2023-04-01,0.0,266.0
Jordan,Adenovirus,Adenovirus,ADENO,2023-05-01,0.0,270.0
Jordan,Adenovirus,Adenovirus,ADENO,2023-06-01,0.0,168.0
Jordan,Adenovirus,Adenovirus,ADENO,2023-07-01,0.0,178.0
Jordan,Adenovirus,Adenovirus,ADENO,2023-08-01,0.0,169.0
Jordan,Adenovirus,Adenovirus,ADENO,2023-09-01,0.0,223.0
Jordan,Adenovirus,Adenovirus,ADENO,2023-10-01,0.0,385.0
Jordan,Adenovirus,Adenovirus,ADENO,2023-11-01,0.0,493.0
Jordan,Adenovirus,Adenovirus,ADENO,2023-12-01,0.0,948.0
Jordan,Adenovirus,Adenovirus,ADENO,2024-01-01,0.0,694.0
Jordan,Adenovirus,Adenovirus,ADENO,2024-02-01,0.0,730.0
Jordan,Adenovirus,Adenovirus,ADENO,2024-03-01,0.0,520.0
Jordan,Adenovirus,Adenovirus,ADENO,2024-04-01,0.0,504.0
Jordan,Adenovirus,Adenovirus,ADENO,2024-05-01,0.0,369.0
Jordan,Adenovirus,Adenovirus,ADENO,2024-06-01,0.0,210.0
Jordan,Adenovirus,Adenovirus,ADENO,2024-07-01,0.0,373.0
Jordan,Adenovirus,Adenovirus,ADENO,2024-08-01,0.0,308.0
