country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2016-01-01,0.0,51.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2016-02-01,0.0,317.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2016-03-01,0.0,319.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2016-04-01,0.0,88.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2016-05-01,0.0,0.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2016-06-01,0.0,0.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2016-07-01,0.0,0.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2016-08-01,0.0,0.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2016-09-01,0.0,0.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2016-10-01,0.0,21.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2016-11-01,0.0,114.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2016-12-01,0.0,66.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2017-01-01,0.0,32.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2017-02-01,0.0,12.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2017-03-01,0.0,27.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2017-04-01,0.0,15.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2017-05-01,0.0,7.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2017-06-01,0.0,0.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2017-07-01,0.0,0.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2017-08-01,0.0,0.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2017-09-01,0.0,5.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2017-10-01,0.0,19.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Adenovirus,Adenovirus,ADENO,2017-11-01,0.0,4.0
