country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2010-11-01,10.0,85.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2010-12-01,5.0,92.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2011-01-01,9.0,95.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2011-02-01,10.0,118.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2011-03-01,1.0,181.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2011-04-01,2.0,132.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2011-05-01,0.0,128.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2011-06-01,2.0,100.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2011-07-01,0.0,129.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2011-08-01,1.0,162.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2011-09-01,0.0,211.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2011-10-01,17.0,260.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2011-11-01,20.0,225.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2011-12-01,10.0,109.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2012-01-01,28.0,176.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2012-02-01,19.0,196.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2012-03-01,5.0,130.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2012-04-01,1.0,128.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2012-05-01,3.0,146.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2012-06-01,7.0,144.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2012-07-01,13.0,148.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2012-08-01,5.0,160.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2012-09-01,13.0,204.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2012-10-01,10.0,179.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2012-11-01,12.0,142.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2012-12-01,20.0,171.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2013-01-01,20.0,134.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2013-02-01,14.0,139.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2013-03-01,9.0,115.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2013-04-01,11.0,100.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2013-05-01,12.0,166.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2013-06-01,1.0,136.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2013-07-01,1.0,190.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2013-08-01,0.0,148.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2013-09-01,0.0,259.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2013-10-01,3.0,215.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2013-11-01,6.0,249.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2013-12-01,10.0,203.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2014-01-01,15.0,188.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2014-02-01,22.0,213.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2014-03-01,18.0,266.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2014-04-01,3.0,122.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2014-05-01,6.0,134.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2014-06-01,2.0,196.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2014-07-01,2.0,217.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2014-08-01,15.0,282.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2014-09-01,43.0,475.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2014-10-01,20.0,221.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2014-11-01,26.0,171.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2014-12-01,28.0,185.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2015-01-01,35.0,300.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2015-02-01,41.0,363.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2015-03-01,48.0,450.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2015-04-01,11.0,251.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2015-05-01,23.0,432.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2015-06-01,10.0,481.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2015-07-01,7.0,470.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2015-08-01,1.0,466.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2015-09-01,1.0,296.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2015-10-01,6.0,293.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2015-11-01,8.0,320.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2015-12-01,14.0,311.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2016-01-01,9.0,201.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2016-02-01,28.0,425.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2016-03-01,21.0,265.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2016-04-01,9.0,185.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2016-05-01,38.0,1399.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2016-06-01,15.0,391.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2016-07-01,14.0,279.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2016-08-01,21.0,354.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2016-09-01,26.0,413.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2016-10-01,55.0,711.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2016-11-01,66.0,527.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2016-12-01,59.0,369.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2017-01-01,58.0,441.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2017-02-01,26.0,367.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2017-03-01,4.0,297.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2017-04-01,6.0,274.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2017-05-01,15.0,479.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2017-06-01,6.0,354.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2017-07-01,6.0,483.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2017-08-01,10.0,495.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2017-09-01,22.0,557.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2017-10-01,51.0,531.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2017-11-01,17.0,293.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2017-12-01,27.0,375.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2018-01-01,34.0,250.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2018-02-01,31.0,238.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2018-03-01,17.0,218.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2018-04-01,22.0,258.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2018-05-01,8.0,274.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2018-06-01,8.0,236.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2018-07-01,4.0,322.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2018-08-01,6.0,350.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2018-09-01,5.0,483.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2018-10-01,1.0,521.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2018-11-01,3.0,371.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2018-12-01,1.0,337.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2019-01-01,2.0,340.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2019-02-01,2.0,285.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2019-03-01,9.0,237.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2019-04-01,9.0,274.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2019-05-01,8.0,320.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2019-06-01,7.0,299.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2019-07-01,18.0,374.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2019-08-01,18.0,279.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2019-09-01,53.0,392.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2019-10-01,65.0,411.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2019-11-01,56.0,351.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2019-12-01,31.0,346.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2020-01-01,0.0,81.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2020-02-01,0.0,45.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2020-03-01,0.0,46.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2020-04-01,0.0,22.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2020-05-01,0.0,51.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2020-06-01,0.0,208.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2020-07-01,0.0,169.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2020-08-01,0.0,172.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2020-09-01,0.0,306.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2020-10-01,0.0,437.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2020-11-01,0.0,557.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2020-12-01,0.0,355.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2021-01-01,0.0,266.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2021-02-01,0.0,355.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2021-03-01,0.0,562.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2021-04-01,0.0,353.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2021-05-01,0.0,96.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2021-06-01,0.0,123.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2021-07-01,0.0,154.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2021-08-01,0.0,186.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2021-09-01,0.0,116.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2021-10-01,0.0,148.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2021-11-01,0.0,187.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2021-12-01,0.0,94.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2022-01-01,0.0,198.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2022-02-01,0.0,215.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2022-03-01,0.0,400.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2022-04-01,0.0,354.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2022-05-01,0.0,273.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2022-06-01,4.0,230.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2022-07-01,8.0,409.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2022-08-01,69.0,701.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2022-09-01,58.0,622.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2022-10-01,89.0,746.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2022-11-01,53.0,478.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2022-12-01,22.0,392.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2023-01-01,12.0,471.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2023-02-01,7.0,449.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2023-03-01,4.0,447.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2023-04-01,4.0,456.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2023-05-01,0.0,469.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2023-06-01,0.0,546.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2023-07-01,0.0,882.0
Lao People's Democratic Republic,InfluenzaB,InfluenzaB,INF_B,2023-08-01,3.0,711.0
