country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2010-11-01,0.0,85.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2010-12-01,0.0,92.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-01-01,0.0,95.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-02-01,0.0,118.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-03-01,0.0,181.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-04-01,0.0,132.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-05-01,0.0,128.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-06-01,0.0,100.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-07-01,0.0,129.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-08-01,0.0,162.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-09-01,0.0,211.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-10-01,0.0,260.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-11-01,0.0,225.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-12-01,0.0,109.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-01-01,0.0,176.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-02-01,0.0,196.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-03-01,0.0,130.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-04-01,0.0,128.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-05-01,0.0,146.0
Lao People's Democratic Republic,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-06-01,0.0,144.0
