country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Lesotho,Parainfluenza,Parainfluenza,PARAINFLUENZA,2025-01-01,0.0,1.0
Lesotho,Parainfluenza,Parainfluenza,PARAINFLUENZA,2025-02-01,0.0,1.0
Lesotho,Parainfluenza,Parainfluenza,PARAINFLUENZA,2025-03-01,0.0,2.0
Lesotho,Parainfluenza,Parainfluenza,PARAINFLUENZA,2025-04-01,0.0,17.0
Lesotho,Parainfluenza,Parainfluenza,PARAINFLUENZA,2025-05-01,0.0,41.0
Lesotho,Parainfluenza,Parainfluenza,PARAINFLUENZA,2025-06-01,0.0,16.0
Lesotho,Parainfluenza,Parainfluenza,PARAINFLUENZA,2025-07-01,0.0,16.0
Lesotho,Parainfluenza,Parainfluenza,PARAINFLUENZA,2025-08-01,0.0,14.0
Lesotho,Parainfluenza,Parainfluenza,PARAINFLUENZA,2025-09-01,0.0,13.0
Lesotho,Parainfluenza,Parainfluenza,PARAINFLUENZA,2025-10-01,0.0,10.0
