country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Libya,InfluenzaA,InfluenzaA,INF_A,2022-02-01,1.0,39.0
Libya,InfluenzaA,InfluenzaA,INF_A,2022-03-01,5.0,32.0
Libya,InfluenzaA,InfluenzaA,INF_A,2022-04-01,1.0,16.0
Libya,InfluenzaA,InfluenzaA,INF_A,2022-05-01,8.0,40.0
Libya,InfluenzaA,InfluenzaA,INF_A,2022-06-01,6.0,41.0
Libya,InfluenzaA,InfluenzaA,INF_A,2022-07-01,2.0,28.0
Libya,InfluenzaA,InfluenzaA,INF_A,2022-08-01,0.0,26.0
Libya,InfluenzaA,InfluenzaA,INF_A,2022-09-01,0.0,11.0
Libya,InfluenzaA,InfluenzaA,INF_A,2022-10-01,0.0,13.0
Libya,InfluenzaA,InfluenzaA,INF_A,2022-11-01,14.0,33.0
Libya,InfluenzaA,InfluenzaA,INF_A,2022-12-01,89.0,138.0
Libya,InfluenzaA,InfluenzaA,INF_A,2023-01-01,6.0,89.0
Libya,InfluenzaA,InfluenzaA,INF_A,2023-02-01,5.0,91.0
Libya,InfluenzaA,InfluenzaA,INF_A,2023-03-01,0.0,79.0
Libya,InfluenzaA,InfluenzaA,INF_A,2023-04-01,0.0,23.0
Libya,InfluenzaA,InfluenzaA,INF_A,2023-05-01,0.0,31.0
Libya,InfluenzaA,InfluenzaA,INF_A,2023-06-01,0.0,15.0
Libya,InfluenzaA,InfluenzaA,INF_A,2023-07-01,0.0,0.0
Libya,InfluenzaA,InfluenzaA,INF_A,2023-08-01,0.0,0.0
Libya,InfluenzaA,InfluenzaA,INF_A,2023-09-01,0.0,4.0
Libya,InfluenzaA,InfluenzaA,INF_A,2023-10-01,0.0,32.0
Libya,InfluenzaA,InfluenzaA,INF_A,2023-11-01,23.0,130.0
Libya,InfluenzaA,InfluenzaA,INF_A,2023-12-01,99.0,276.0
Libya,InfluenzaA,InfluenzaA,INF_A,2024-01-01,93.0,353.0
Libya,InfluenzaA,InfluenzaA,INF_A,2024-02-01,20.0,130.0
Libya,InfluenzaA,InfluenzaA,INF_A,2024-03-01,4.0,63.0
Libya,InfluenzaA,InfluenzaA,INF_A,2024-04-01,6.0,60.0
Libya,InfluenzaA,InfluenzaA,INF_A,2024-05-01,0.0,33.0
Libya,InfluenzaA,InfluenzaA,INF_A,2024-06-01,0.0,11.0
Libya,InfluenzaA,InfluenzaA,INF_A,2024-07-01,0.0,12.0
Libya,InfluenzaA,InfluenzaA,INF_A,2024-08-01,0.0,10.0
Libya,InfluenzaA,InfluenzaA,INF_A,2024-09-01,1.0,8.0
Libya,InfluenzaA,InfluenzaA,INF_A,2024-10-01,0.0,1.0
Libya,InfluenzaA,InfluenzaA,INF_A,2024-11-01,0.0,2.0
Libya,InfluenzaA,InfluenzaA,INF_A,2024-12-01,4.0,12.0
Libya,InfluenzaA,InfluenzaA,INF_A,2025-01-01,1.0,4.0
Libya,InfluenzaA,InfluenzaA,INF_A,2025-02-01,3.0,11.0
Libya,InfluenzaA,InfluenzaA,INF_A,2025-03-01,0.0,0.0
Libya,InfluenzaA,InfluenzaA,INF_A,2025-04-01,0.0,0.0
Libya,InfluenzaA,InfluenzaA,INF_A,2025-05-01,0.0,0.0
Libya,InfluenzaA,InfluenzaA,INF_A,2025-06-01,0.0,0.0
Libya,InfluenzaA,InfluenzaA,INF_A,2025-07-01,0.0,0.0
Libya,InfluenzaA,InfluenzaA,INF_A,2025-08-01,0.0,0.0
Libya,InfluenzaA,InfluenzaA,INF_A,2025-09-01,1.0,1.0
