country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Luxembourg,RSV,RSV,RSV,2003-12-01,0.0,10.0
Luxembourg,RSV,RSV,RSV,2004-01-01,0.0,27.0
Luxembourg,RSV,RSV,RSV,2004-02-01,0.0,17.0
Luxembourg,RSV,RSV,RSV,2004-03-01,0.0,13.0
Luxembourg,RSV,RSV,RSV,2004-04-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2004-05-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2004-06-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2004-07-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2004-08-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2004-09-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2004-10-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2004-11-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2004-12-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2005-01-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2005-02-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2005-03-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2005-04-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2005-05-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2005-06-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2005-07-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2005-08-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2005-09-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2005-10-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2005-11-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2005-12-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2006-01-01,0.0,46.0
Luxembourg,RSV,RSV,RSV,2006-02-01,0.0,128.0
Luxembourg,RSV,RSV,RSV,2006-03-01,0.0,147.0
Luxembourg,RSV,RSV,RSV,2006-04-01,0.0,19.0
Luxembourg,RSV,RSV,RSV,2006-05-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2006-06-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2006-07-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2006-08-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2006-09-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2006-10-01,0.0,19.0
Luxembourg,RSV,RSV,RSV,2006-11-01,0.0,14.0
Luxembourg,RSV,RSV,RSV,2006-12-01,0.0,25.0
Luxembourg,RSV,RSV,RSV,2007-01-01,0.0,105.0
Luxembourg,RSV,RSV,RSV,2007-02-01,0.0,302.0
Luxembourg,RSV,RSV,RSV,2007-03-01,0.0,96.0
Luxembourg,RSV,RSV,RSV,2007-04-01,0.0,7.0
Luxembourg,RSV,RSV,RSV,2007-05-01,0.0,1.0
Luxembourg,RSV,RSV,RSV,2007-06-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2007-07-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2007-08-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2007-09-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2007-10-01,0.0,9.0
Luxembourg,RSV,RSV,RSV,2007-11-01,0.0,21.0
Luxembourg,RSV,RSV,RSV,2007-12-01,0.0,55.0
Luxembourg,RSV,RSV,RSV,2008-01-01,0.0,336.0
Luxembourg,RSV,RSV,RSV,2008-02-01,0.0,366.0
Luxembourg,RSV,RSV,RSV,2008-03-01,0.0,179.0
Luxembourg,RSV,RSV,RSV,2008-04-01,0.0,32.0
Luxembourg,RSV,RSV,RSV,2008-05-01,0.0,5.0
Luxembourg,RSV,RSV,RSV,2008-06-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2008-07-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2008-08-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2008-09-01,0.0,1.0
Luxembourg,RSV,RSV,RSV,2008-10-01,0.0,9.0
Luxembourg,RSV,RSV,RSV,2008-11-01,0.0,15.0
Luxembourg,RSV,RSV,RSV,2008-12-01,0.0,62.0
Luxembourg,RSV,RSV,RSV,2009-01-01,0.0,120.0
Luxembourg,RSV,RSV,RSV,2009-02-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2009-03-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2009-04-01,0.0,18.0
Luxembourg,RSV,RSV,RSV,2009-05-01,0.0,29.0
Luxembourg,RSV,RSV,RSV,2009-06-01,0.0,117.0
Luxembourg,RSV,RSV,RSV,2009-07-01,0.0,535.0
Luxembourg,RSV,RSV,RSV,2009-08-01,0.0,693.0
Luxembourg,RSV,RSV,RSV,2009-09-01,0.0,1209.0
Luxembourg,RSV,RSV,RSV,2009-10-01,0.0,1511.0
Luxembourg,RSV,RSV,RSV,2009-11-01,0.0,1175.0
Luxembourg,RSV,RSV,RSV,2009-12-01,0.0,193.0
Luxembourg,RSV,RSV,RSV,2010-01-01,0.0,60.0
Luxembourg,RSV,RSV,RSV,2010-02-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2010-03-01,0.0,76.0
Luxembourg,RSV,RSV,RSV,2010-04-01,0.0,20.0
Luxembourg,RSV,RSV,RSV,2010-05-01,0.0,9.0
Luxembourg,RSV,RSV,RSV,2010-06-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2010-07-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2010-08-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2010-09-01,0.0,2.0
Luxembourg,RSV,RSV,RSV,2010-10-01,0.0,14.0
Luxembourg,RSV,RSV,RSV,2010-11-01,0.0,21.0
Luxembourg,RSV,RSV,RSV,2010-12-01,0.0,76.0
Luxembourg,RSV,RSV,RSV,2011-01-01,0.0,651.0
Luxembourg,RSV,RSV,RSV,2011-02-01,0.0,320.0
Luxembourg,RSV,RSV,RSV,2011-03-01,0.0,61.0
Luxembourg,RSV,RSV,RSV,2011-04-01,0.0,12.0
Luxembourg,RSV,RSV,RSV,2011-05-01,0.0,1.0
Luxembourg,RSV,RSV,RSV,2011-06-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2011-07-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2011-08-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2011-09-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2011-10-01,0.0,12.0
Luxembourg,RSV,RSV,RSV,2011-11-01,0.0,24.0
Luxembourg,RSV,RSV,RSV,2011-12-01,0.0,36.0
Luxembourg,RSV,RSV,RSV,2012-01-01,0.0,70.0
Luxembourg,RSV,RSV,RSV,2012-02-01,0.0,184.0
Luxembourg,RSV,RSV,RSV,2012-03-01,0.0,210.0
Luxembourg,RSV,RSV,RSV,2012-04-01,0.0,47.0
Luxembourg,RSV,RSV,RSV,2012-05-01,0.0,7.0
Luxembourg,RSV,RSV,RSV,2012-06-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2012-07-01,0.0,0.0
Luxembourg,RSV,RSV,RSV,2012-08-01,0.0,0.0
