country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-01-01,0.0,1.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-02-01,0.0,3.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-03-01,0.0,6.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-04-01,0.0,6.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-05-01,0.0,1.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-06-01,0.0,6.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-07-01,0.0,27.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-08-01,0.0,16.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-09-01,0.0,50.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-10-01,0.0,36.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-11-01,0.0,10.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-12-01,0.0,16.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-01-01,0.0,12.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-02-01,0.0,31.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-03-01,0.0,31.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-04-01,0.0,25.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-05-01,0.0,42.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-06-01,0.0,23.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-07-01,0.0,4.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-08-01,0.0,3.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-09-01,0.0,5.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-10-01,0.0,17.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-11-01,0.0,46.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-12-01,0.0,44.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-01-01,0.0,64.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-02-01,0.0,136.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-03-01,0.0,530.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-04-01,0.0,106.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-05-01,0.0,30.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-06-01,0.0,50.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-07-01,0.0,30.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-08-01,0.0,19.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-09-01,0.0,163.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-10-01,0.0,175.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-11-01,0.0,79.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-12-01,0.0,232.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-01-01,0.0,80.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-02-01,0.0,69.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-03-01,0.0,55.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-04-01,0.0,85.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-05-01,0.0,495.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-06-01,0.0,86.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-07-01,0.0,67.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-08-01,0.0,54.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-09-01,0.0,50.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-10-01,0.0,46.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-11-01,0.0,29.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-12-01,0.0,183.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2019-01-01,0.0,96.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2019-02-01,0.0,58.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2019-03-01,0.0,73.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2019-04-01,0.0,139.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2019-05-01,0.0,49.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2019-06-01,0.0,209.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2019-07-01,0.0,251.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2019-08-01,0.0,7.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2019-09-01,0.0,0.0
Maldives,Metapneumovirus,Metapneumovirus,METAPNEUMO,2019-10-01,0.0,0.0
