country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-06-01,0.0,72.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-07-01,0.0,11.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-08-01,0.0,0.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-09-01,0.0,0.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-10-01,0.0,64.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-11-01,0.0,24.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-12-01,0.0,74.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-01-01,0.0,124.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-02-01,0.0,118.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-03-01,0.0,73.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-04-01,0.0,61.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-05-01,0.0,25.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-06-01,0.0,52.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-07-01,0.0,109.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-08-01,0.0,303.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-09-01,0.0,591.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-10-01,0.0,352.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-11-01,0.0,26.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-12-01,0.0,35.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-01-01,0.0,22.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-02-01,0.0,64.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-03-01,0.0,116.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-04-01,0.0,83.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-05-01,0.0,101.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-06-01,0.0,212.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-07-01,0.0,521.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-08-01,0.0,333.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-09-01,0.0,129.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-10-01,0.0,21.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-11-01,0.0,32.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-12-01,0.0,80.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-01-01,0.0,213.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-02-01,0.0,114.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-03-01,0.0,406.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-04-01,0.0,342.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-05-01,0.0,216.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-06-01,0.0,154.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-07-01,0.0,488.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-08-01,0.0,402.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-09-01,0.0,301.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-10-01,0.0,147.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-11-01,0.0,157.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-12-01,0.0,132.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-01-01,0.0,83.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-02-01,0.0,353.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-03-01,0.0,2025.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-04-01,0.0,592.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-05-01,0.0,52.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-06-01,0.0,63.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-07-01,0.0,124.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-08-01,0.0,96.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-09-01,0.0,135.0
Nepal,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-10-01,0.0,28.0
