country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1996-10-01,0.0,49.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1996-11-01,0.0,39.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1996-12-01,1.0,69.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1997-01-01,23.0,145.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1997-02-01,36.0,110.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1997-03-01,10.0,32.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1997-04-01,2.0,10.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1997-05-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1997-06-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1997-07-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1997-08-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1997-09-01,0.0,31.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1997-10-01,0.0,43.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1997-11-01,0.0,26.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1997-12-01,0.0,33.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1998-01-01,2.0,30.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1998-02-01,1.0,72.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1998-03-01,1.0,88.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1998-04-01,2.0,32.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1998-05-01,0.0,10.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1998-06-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1998-07-01,0.0,3.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1998-08-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1998-09-01,0.0,10.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1998-10-01,0.0,42.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1998-11-01,5.0,77.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1998-12-01,37.0,81.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1999-01-01,48.0,78.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1999-02-01,30.0,74.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1999-03-01,5.0,47.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1999-04-01,0.0,8.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1999-05-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1999-06-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1999-07-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1999-08-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1999-09-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1999-10-01,0.0,36.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1999-11-01,0.0,50.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,1999-12-01,0.0,67.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2000-01-01,0.0,85.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2000-02-01,0.0,23.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2000-03-01,1.0,15.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2000-04-01,0.0,8.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2000-05-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2000-06-01,0.0,2.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2000-07-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2000-08-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2000-09-01,0.0,1.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2000-10-01,0.0,15.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2000-11-01,0.0,11.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2000-12-01,0.0,3.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2001-01-01,1.0,15.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2001-02-01,2.0,11.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2001-03-01,11.0,8.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2001-04-01,13.0,3.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2001-05-01,3.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2001-06-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2001-07-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2001-08-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2001-09-01,0.0,3.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2001-10-01,0.0,1.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2001-11-01,0.0,1.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2001-12-01,1.0,2.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2002-01-01,6.0,8.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2002-02-01,9.0,20.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2002-03-01,20.0,19.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2002-04-01,9.0,3.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2002-05-01,2.0,1.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2002-06-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2002-07-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2002-08-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2002-09-01,0.0,1.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2002-10-01,0.0,3.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2002-11-01,0.0,6.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2002-12-01,0.0,5.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2003-01-01,1.0,7.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2003-02-01,11.0,10.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2003-03-01,33.0,19.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2003-04-01,3.0,4.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2003-05-01,1.0,1.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2003-06-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2003-07-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2003-08-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2003-09-01,0.0,3.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2003-10-01,0.0,6.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2003-11-01,0.0,10.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2003-12-01,0.0,54.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2004-01-01,1.0,19.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2004-02-01,1.0,14.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2004-03-01,1.0,5.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2004-04-01,0.0,1.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2004-05-01,1.0,2.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2004-06-01,0.0,1.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2004-07-01,0.0,2.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2004-08-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2004-09-01,1.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2004-10-01,0.0,4.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2004-11-01,1.0,5.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2004-12-01,3.0,9.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2005-01-01,10.0,33.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2005-02-01,40.0,73.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2005-03-01,48.0,29.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2005-04-01,10.0,5.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2005-05-01,1.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2005-06-01,0.0,1.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2005-07-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2005-08-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2005-09-01,0.0,6.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2005-10-01,0.0,13.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2005-11-01,0.0,11.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2005-12-01,0.0,16.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2006-01-01,12.0,57.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2006-02-01,67.0,106.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2006-03-01,60.0,78.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2006-04-01,3.0,23.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2006-05-01,0.0,3.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2006-06-01,0.0,6.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2006-07-01,0.0,0.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2006-08-01,0.0,6.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2006-09-01,0.0,7.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2006-10-01,1.0,13.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2006-11-01,0.0,23.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2006-12-01,0.0,30.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2007-01-01,2.0,53.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2007-02-01,0.0,84.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2007-03-01,0.0,69.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2007-04-01,1.0,23.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2007-05-01,1.0,11.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2007-06-01,0.0,8.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2007-07-01,1.0,8.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2007-08-01,0.0,6.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2007-09-01,0.0,20.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2007-10-01,1.0,49.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2007-11-01,1.0,35.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2007-12-01,10.0,40.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2008-01-01,21.0,79.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2008-02-01,62.0,131.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2008-03-01,78.0,90.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2008-04-01,36.0,50.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2008-05-01,2.0,14.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2008-06-01,1.0,19.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2008-07-01,0.0,9.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2008-08-01,0.0,9.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2008-09-01,1.0,21.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2008-10-01,0.0,30.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2008-11-01,0.0,45.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2008-12-01,0.0,120.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2009-01-01,1.0,557.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2009-02-01,37.0,252.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2009-03-01,31.0,84.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2009-04-01,6.0,26.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2009-05-01,2.0,52.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2009-06-01,0.0,201.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2009-07-01,0.0,837.0
Netherlands (Kingdom of the),InfluenzaB,InfluenzaB,INF_B,2009-08-01,0.0,713.0
