country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2010-01-01,0.0,192.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2010-02-01,0.0,161.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2010-03-01,0.0,231.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2010-04-01,2.0,189.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2010-05-01,3.0,460.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2010-06-01,8.0,406.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2010-07-01,38.0,271.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2010-08-01,106.0,338.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2010-09-01,23.0,234.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2010-10-01,31.0,232.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2010-11-01,1.0,170.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2010-12-01,1.0,46.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2011-01-01,3.0,135.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2011-02-01,5.0,214.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2011-03-01,0.0,261.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2011-04-01,0.0,189.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2011-05-01,0.0,209.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2011-06-01,0.0,161.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2011-07-01,0.0,150.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2011-08-01,0.0,352.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2011-09-01,0.0,251.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2011-10-01,0.0,2107.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2011-11-01,0.0,697.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2011-12-01,0.0,267.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2012-01-01,1.0,257.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2012-02-01,0.0,258.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2012-03-01,0.0,131.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2012-04-01,0.0,186.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2012-05-01,0.0,176.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2012-06-01,3.0,382.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2012-07-01,9.0,562.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2012-08-01,37.0,445.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2012-09-01,63.0,351.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2012-10-01,162.0,503.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2012-11-01,72.0,331.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2012-12-01,7.0,238.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2013-01-01,9.0,189.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2013-02-01,16.0,290.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2013-03-01,5.0,492.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2013-04-01,7.0,626.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2013-05-01,0.0,390.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2013-06-01,1.0,530.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2013-07-01,0.0,1569.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2013-08-01,0.0,677.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2013-09-01,1.0,740.0
Nicaragua,InfluenzaB,InfluenzaB,INF_B,2013-10-01,1.0,718.0
