country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2010-01-01,0.0,245.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2010-02-01,0.0,243.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2010-03-01,0.0,338.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2010-04-01,0.0,218.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2010-05-01,0.0,267.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2010-06-01,0.0,146.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2010-07-01,0.0,171.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2010-08-01,0.0,195.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2010-09-01,0.0,116.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2010-10-01,0.0,97.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2010-11-01,0.0,215.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2010-12-01,0.0,207.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-01-01,0.0,290.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-02-01,0.0,95.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-03-01,0.0,106.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-04-01,0.0,180.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-05-01,0.0,264.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-06-01,0.0,289.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-07-01,0.0,282.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-08-01,0.0,261.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-09-01,0.0,182.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-10-01,0.0,299.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-11-01,0.0,213.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2011-12-01,0.0,124.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-01-01,0.0,112.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-02-01,0.0,165.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-03-01,0.0,169.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-04-01,0.0,193.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-05-01,0.0,105.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-06-01,0.0,146.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-07-01,0.0,151.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-08-01,0.0,135.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-09-01,0.0,164.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-10-01,0.0,196.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-11-01,0.0,136.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2012-12-01,0.0,163.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-01-01,0.0,144.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-02-01,0.0,184.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-03-01,0.0,180.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-04-01,0.0,191.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-05-01,0.0,191.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-06-01,0.0,198.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-07-01,0.0,245.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-08-01,0.0,82.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-09-01,0.0,183.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-10-01,0.0,113.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-11-01,0.0,166.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2013-12-01,0.0,110.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-01-01,0.0,125.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-02-01,0.0,104.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-03-01,0.0,128.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-04-01,0.0,126.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-05-01,0.0,103.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-06-01,0.0,182.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-07-01,0.0,8.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-08-01,0.0,7.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-09-01,0.0,41.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-10-01,0.0,101.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-11-01,0.0,77.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2014-12-01,0.0,11.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-01-01,0.0,0.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-02-01,0.0,60.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-03-01,0.0,132.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-04-01,0.0,78.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-05-01,0.0,110.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-06-01,0.0,112.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-07-01,0.0,109.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-08-01,0.0,88.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-09-01,0.0,55.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-10-01,0.0,2.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-11-01,0.0,153.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2015-12-01,0.0,83.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-01-01,0.0,44.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-02-01,0.0,85.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-03-01,0.0,64.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-04-01,0.0,38.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-05-01,0.0,35.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-06-01,0.0,13.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-07-01,0.0,42.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-08-01,0.0,78.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-09-01,0.0,0.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-10-01,0.0,6.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-11-01,0.0,4.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2016-12-01,0.0,5.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-01-01,0.0,2.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-02-01,0.0,0.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-03-01,0.0,2.0
Nigeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-04-01,0.0,20.0
