country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Oman,RSV,RSV,RSV,2008-03-01,0.0,35.0
Oman,RSV,RSV,RSV,2008-04-01,0.0,96.0
Oman,RSV,RSV,RSV,2008-05-01,0.0,58.0
Oman,RSV,RSV,RSV,2008-06-01,0.0,107.0
Oman,RSV,RSV,RSV,2008-07-01,0.0,50.0
Oman,RSV,RSV,RSV,2008-08-01,0.0,43.0
Oman,RSV,RSV,RSV,2008-09-01,0.0,15.0
Oman,RSV,RSV,RSV,2008-10-01,0.0,10.0
Oman,RSV,RSV,RSV,2008-11-01,0.0,4.0
Oman,RSV,RSV,RSV,2008-12-01,0.0,42.0
Oman,RSV,RSV,RSV,2009-01-01,0.0,10.0
Oman,RSV,RSV,RSV,2009-02-01,0.0,9.0
Oman,RSV,RSV,RSV,2009-03-01,0.0,67.0
Oman,RSV,RSV,RSV,2009-04-01,0.0,56.0
Oman,RSV,RSV,RSV,2009-05-01,0.0,24.0
Oman,RSV,RSV,RSV,2009-06-01,0.0,9.0
Oman,RSV,RSV,RSV,2009-07-01,0.0,21.0
Oman,RSV,RSV,RSV,2009-08-01,0.0,24.0
Oman,RSV,RSV,RSV,2009-09-01,0.0,0.0
Oman,RSV,RSV,RSV,2009-10-01,0.0,0.0
Oman,RSV,RSV,RSV,2009-11-01,0.0,0.0
Oman,RSV,RSV,RSV,2009-12-01,0.0,0.0
Oman,RSV,RSV,RSV,2010-01-01,0.0,1224.0
Oman,RSV,RSV,RSV,2010-02-01,0.0,683.0
Oman,RSV,RSV,RSV,2010-03-01,0.0,528.0
Oman,RSV,RSV,RSV,2010-04-01,0.0,103.0
Oman,RSV,RSV,RSV,2010-05-01,0.0,22.0
Oman,RSV,RSV,RSV,2010-06-01,0.0,48.0
Oman,RSV,RSV,RSV,2010-07-01,0.0,184.0
Oman,RSV,RSV,RSV,2010-08-01,0.0,441.0
Oman,RSV,RSV,RSV,2010-09-01,0.0,207.0
Oman,RSV,RSV,RSV,2010-10-01,0.0,231.0
Oman,RSV,RSV,RSV,2010-11-01,0.0,301.0
Oman,RSV,RSV,RSV,2010-12-01,0.0,238.0
Oman,RSV,RSV,RSV,2011-01-01,0.0,822.0
Oman,RSV,RSV,RSV,2011-02-01,0.0,421.0
Oman,RSV,RSV,RSV,2011-03-01,0.0,344.0
Oman,RSV,RSV,RSV,2011-04-01,0.0,248.0
Oman,RSV,RSV,RSV,2011-05-01,0.0,140.0
Oman,RSV,RSV,RSV,2011-06-01,0.0,143.0
Oman,RSV,RSV,RSV,2011-07-01,0.0,191.0
Oman,RSV,RSV,RSV,2011-08-01,0.0,165.0
Oman,RSV,RSV,RSV,2011-09-01,0.0,143.0
Oman,RSV,RSV,RSV,2011-10-01,0.0,246.0
Oman,RSV,RSV,RSV,2011-11-01,0.0,129.0
Oman,RSV,RSV,RSV,2011-12-01,0.0,146.0
Oman,RSV,RSV,RSV,2012-01-01,0.0,255.0
Oman,RSV,RSV,RSV,2012-02-01,0.0,122.0
Oman,RSV,RSV,RSV,2012-03-01,0.0,157.0
Oman,RSV,RSV,RSV,2012-04-01,0.0,184.0
Oman,RSV,RSV,RSV,2012-05-01,0.0,116.0
Oman,RSV,RSV,RSV,2012-06-01,0.0,96.0
Oman,RSV,RSV,RSV,2012-07-01,0.0,71.0
Oman,RSV,RSV,RSV,2012-08-01,0.0,38.0
Oman,RSV,RSV,RSV,2012-09-01,0.0,58.0
Oman,RSV,RSV,RSV,2012-10-01,0.0,144.0
Oman,RSV,RSV,RSV,2012-11-01,0.0,164.0
Oman,RSV,RSV,RSV,2012-12-01,0.0,231.0
Oman,RSV,RSV,RSV,2013-01-01,0.0,282.0
Oman,RSV,RSV,RSV,2013-02-01,0.0,175.0
Oman,RSV,RSV,RSV,2013-03-01,0.0,203.0
Oman,RSV,RSV,RSV,2013-04-01,0.0,138.0
Oman,RSV,RSV,RSV,2013-05-01,0.0,77.0
Oman,RSV,RSV,RSV,2013-06-01,0.0,256.0
Oman,RSV,RSV,RSV,2013-07-01,0.0,363.0
Oman,RSV,RSV,RSV,2013-08-01,0.0,131.0
Oman,RSV,RSV,RSV,2013-09-01,0.0,244.0
Oman,RSV,RSV,RSV,2013-10-01,0.0,286.0
Oman,RSV,RSV,RSV,2013-11-01,0.0,255.0
Oman,RSV,RSV,RSV,2013-12-01,0.0,236.0
