country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Peru,RSV,RSV,RSV,2000-10-01,0.0,0.0
Peru,RSV,RSV,RSV,2000-11-01,0.0,0.0
Peru,RSV,RSV,RSV,2000-12-01,0.0,0.0
Peru,RSV,RSV,RSV,2001-01-01,0.0,0.0
Peru,RSV,RSV,RSV,2001-02-01,0.0,0.0
Peru,RSV,RSV,RSV,2001-03-01,0.0,0.0
Peru,RSV,RSV,RSV,2001-04-01,0.0,0.0
Peru,RSV,RSV,RSV,2001-05-01,0.0,0.0
Peru,RSV,RSV,RSV,2001-06-01,0.0,0.0
Peru,RSV,RSV,RSV,2001-07-01,0.0,0.0
Peru,RSV,RSV,RSV,2001-08-01,0.0,0.0
Peru,RSV,RSV,RSV,2001-09-01,0.0,0.0
Peru,RSV,RSV,RSV,2001-10-01,0.0,0.0
Peru,RSV,RSV,RSV,2001-11-01,0.0,0.0
Peru,RSV,RSV,RSV,2001-12-01,0.0,0.0
Peru,RSV,RSV,RSV,2002-01-01,0.0,0.0
Peru,RSV,RSV,RSV,2002-02-01,0.0,0.0
Peru,RSV,RSV,RSV,2002-03-01,0.0,0.0
Peru,RSV,RSV,RSV,2002-04-01,0.0,0.0
Peru,RSV,RSV,RSV,2002-05-01,0.0,0.0
Peru,RSV,RSV,RSV,2002-06-01,0.0,0.0
Peru,RSV,RSV,RSV,2002-07-01,0.0,0.0
Peru,RSV,RSV,RSV,2002-08-01,0.0,96.0
Peru,RSV,RSV,RSV,2002-09-01,0.0,225.0
Peru,RSV,RSV,RSV,2002-10-01,0.0,235.0
Peru,RSV,RSV,RSV,2002-11-01,0.0,286.0
Peru,RSV,RSV,RSV,2002-12-01,0.0,96.0
Peru,RSV,RSV,RSV,2003-01-01,0.0,47.0
Peru,RSV,RSV,RSV,2003-02-01,0.0,54.0
Peru,RSV,RSV,RSV,2003-03-01,0.0,185.0
Peru,RSV,RSV,RSV,2003-04-01,0.0,85.0
Peru,RSV,RSV,RSV,2003-05-01,0.0,151.0
Peru,RSV,RSV,RSV,2003-06-01,0.0,302.0
Peru,RSV,RSV,RSV,2003-07-01,0.0,126.0
Peru,RSV,RSV,RSV,2003-08-01,0.0,150.0
Peru,RSV,RSV,RSV,2003-09-01,0.0,234.0
Peru,RSV,RSV,RSV,2003-10-01,0.0,277.0
Peru,RSV,RSV,RSV,2003-11-01,0.0,161.0
Peru,RSV,RSV,RSV,2003-12-01,0.0,118.0
Peru,RSV,RSV,RSV,2004-01-01,0.0,305.0
Peru,RSV,RSV,RSV,2004-02-01,0.0,223.0
Peru,RSV,RSV,RSV,2004-03-01,0.0,231.0
Peru,RSV,RSV,RSV,2004-04-01,0.0,179.0
Peru,RSV,RSV,RSV,2004-05-01,0.0,152.0
Peru,RSV,RSV,RSV,2004-06-01,0.0,120.0
Peru,RSV,RSV,RSV,2004-07-01,0.0,69.0
Peru,RSV,RSV,RSV,2004-08-01,0.0,93.0
Peru,RSV,RSV,RSV,2004-09-01,0.0,113.0
Peru,RSV,RSV,RSV,2004-10-01,0.0,115.0
Peru,RSV,RSV,RSV,2004-11-01,0.0,159.0
Peru,RSV,RSV,RSV,2004-12-01,0.0,95.0
