country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2001-08-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2001-09-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2001-10-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2001-11-01,4.0,4.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2001-12-01,48.0,48.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2002-01-01,36.0,36.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2002-02-01,6.0,9.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2002-03-01,15.0,105.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2002-04-01,1.0,5.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2002-05-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2002-06-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2002-07-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2002-08-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2002-09-01,1.0,1.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2002-10-01,28.0,28.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2002-11-01,472.0,472.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2002-12-01,51.0,51.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2003-01-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2003-02-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2003-03-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2003-04-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2003-05-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2003-06-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2003-07-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2003-08-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2003-09-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2003-10-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2003-11-01,2.0,2.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2003-12-01,0.0,78.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2004-01-01,5.0,44.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2004-02-01,71.0,189.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2004-03-01,457.0,702.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2004-04-01,203.0,284.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2004-05-01,9.0,11.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2004-06-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2004-07-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2004-08-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2004-09-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2004-10-01,2.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2004-11-01,55.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2004-12-01,165.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2005-01-01,206.0,206.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2005-02-01,103.0,114.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2005-03-01,57.0,104.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2005-04-01,115.0,202.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2005-05-01,103.0,148.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2005-06-01,2.0,2.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2005-07-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2005-08-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2005-09-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2005-10-01,1.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2005-11-01,106.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2005-12-01,488.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2006-01-01,281.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2006-02-01,28.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2006-03-01,54.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2006-04-01,65.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2006-05-01,5.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2006-06-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2006-07-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2006-08-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2006-09-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2006-10-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2006-11-01,22.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2006-12-01,612.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2007-01-01,1602.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2007-02-01,234.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2007-03-01,85.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2007-04-01,257.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2007-05-01,51.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2007-06-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2007-07-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2007-08-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2007-09-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2007-10-01,1.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2007-11-01,16.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2007-12-01,379.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2008-01-01,345.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2008-02-01,157.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2008-03-01,484.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2008-04-01,251.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2008-05-01,20.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2008-06-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2008-07-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2008-08-01,0.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2008-09-01,1.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2008-10-01,1.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2008-11-01,20.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2008-12-01,2478.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2009-01-01,857.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2009-02-01,95.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2009-03-01,588.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2009-04-01,776.0,0.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2009-05-01,118.0,221.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2009-06-01,263.0,1823.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2009-07-01,947.0,3340.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2009-08-01,38.0,897.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2009-09-01,110.0,882.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2009-10-01,1293.0,2454.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2009-11-01,1925.0,3691.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2009-12-01,610.0,1384.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2010-01-01,448.0,1293.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2010-02-01,195.0,867.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2010-03-01,73.0,1217.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2010-04-01,56.0,1829.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2010-05-01,26.0,1097.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2010-06-01,3.0,552.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2010-07-01,0.0,594.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2010-08-01,2.0,524.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2010-09-01,10.0,697.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2010-10-01,15.0,932.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2010-11-01,76.0,1203.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2010-12-01,928.0,1948.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2011-01-01,823.0,1801.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2011-02-01,52.0,460.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2011-03-01,18.0,594.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2011-04-01,21.0,775.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2011-05-01,11.0,1016.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2011-06-01,2.0,815.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2011-07-01,1.0,817.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2011-08-01,0.0,862.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2011-09-01,10.0,831.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2011-10-01,4.0,1207.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2011-11-01,10.0,1022.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2011-12-01,194.0,1371.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2012-01-01,1014.0,2061.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2012-02-01,629.0,1776.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2012-03-01,75.0,1597.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2012-04-01,5.0,1729.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2012-05-01,2.0,858.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2012-06-01,1.0,759.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2012-07-01,6.0,847.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2012-08-01,1.0,570.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2012-09-01,2.0,806.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2012-10-01,0.0,1112.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2012-11-01,2.0,1106.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2012-12-01,51.0,1146.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2013-01-01,374.0,1469.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2013-02-01,584.0,1531.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2013-03-01,395.0,1390.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2013-04-01,185.0,1556.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2013-05-01,12.0,1017.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2013-06-01,2.0,952.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2013-07-01,1.0,1028.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2013-08-01,0.0,838.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2013-09-01,0.0,1125.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2013-10-01,0.0,1071.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2013-11-01,1.0,1407.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2013-12-01,35.0,1690.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2014-01-01,304.0,1052.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2014-02-01,456.0,1057.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2014-03-01,175.0,1187.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2014-04-01,11.0,858.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2014-05-01,1.0,619.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2014-06-01,1.0,912.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2014-07-01,1.0,707.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2014-08-01,1.0,658.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2014-09-01,0.0,833.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2014-10-01,1.0,799.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2014-11-01,0.0,888.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2014-12-01,32.0,1122.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2015-01-01,234.0,962.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2015-02-01,407.0,981.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2015-03-01,276.0,1283.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2015-04-01,60.0,1022.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2015-05-01,1.0,880.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2015-06-01,0.0,924.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2015-07-01,1.0,698.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2015-08-01,0.0,877.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2015-09-01,3.0,744.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2015-10-01,1.0,790.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2015-11-01,1.0,1124.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2015-12-01,16.0,904.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2016-01-01,136.0,907.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2016-02-01,369.0,1075.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2016-03-01,105.0,1004.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2016-04-01,11.0,958.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2016-05-01,2.0,1058.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2016-06-01,0.0,728.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2016-07-01,0.0,751.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2016-08-01,1.0,890.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2016-09-01,3.0,742.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2016-10-01,4.0,892.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2016-11-01,23.0,880.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2016-12-01,436.0,1010.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2017-01-01,305.0,1183.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2017-02-01,68.0,990.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2017-03-01,21.0,1119.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2017-04-01,8.0,1201.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2017-05-01,3.0,1120.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2017-06-01,4.0,808.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2017-07-01,10.0,910.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2017-08-01,3.0,671.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2017-09-01,6.0,849.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2017-10-01,5.0,820.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2017-11-01,21.0,1018.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2017-12-01,225.0,1214.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2018-01-01,398.0,1491.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2018-02-01,159.0,1060.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2018-03-01,48.0,989.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2018-04-01,36.0,1267.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2018-05-01,23.0,857.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2018-06-01,8.0,786.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2018-07-01,4.0,831.0
Republic of Korea,InfluenzaA,InfluenzaA,INF_A,2018-08-01,2.0,613.0
