country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2009-09-01,3.0,25.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2009-10-01,2.0,8.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2009-11-01,1835.0,3381.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2009-12-01,220.0,629.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2010-01-01,10.0,129.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2010-02-01,38.0,360.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2010-03-01,2.0,122.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2010-04-01,0.0,29.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2010-05-01,0.0,25.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2010-06-01,0.0,3.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2010-07-01,0.0,2.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2010-08-01,0.0,1.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2010-09-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2010-10-01,0.0,4.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2010-11-01,0.0,5.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2010-12-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2011-01-01,102.0,354.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2011-02-01,309.0,612.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2011-03-01,36.0,113.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2011-04-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2011-05-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2011-06-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2011-07-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2011-08-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2011-09-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2011-10-01,0.0,8.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2011-11-01,0.0,22.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2011-12-01,0.0,32.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2012-01-01,0.0,20.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2012-02-01,11.0,46.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2012-03-01,22.0,46.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2012-04-01,12.0,40.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2012-05-01,0.0,4.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2012-06-01,0.0,1.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2012-07-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2012-08-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2012-09-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2012-10-01,0.0,37.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2012-11-01,0.0,63.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2012-12-01,0.0,69.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2013-01-01,13.0,64.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2013-02-01,78.0,189.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2013-03-01,27.0,117.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2013-04-01,4.0,49.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2013-05-01,0.0,2.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2013-06-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2013-07-01,0.0,1.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2013-08-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2013-09-01,0.0,1.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2013-10-01,0.0,46.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2013-11-01,0.0,68.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2013-12-01,1.0,68.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2014-01-01,17.0,63.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2014-02-01,61.0,114.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2014-03-01,33.0,94.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2014-04-01,1.0,17.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2014-05-01,0.0,5.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2014-06-01,0.0,4.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2014-07-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2014-08-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2014-09-01,0.0,0.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2014-10-01,0.0,46.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2014-11-01,0.0,79.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2014-12-01,0.0,58.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2015-01-01,4.0,50.0
Republic of Moldova,InfluenzaA,InfluenzaA,INF_A,2015-02-01,55.0,186.0
