country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
South Sudan,Adenovirus,Adenovirus,ADENO,2019-03-01,0.0,9.0
South Sudan,Adenovirus,Adenovirus,ADENO,2019-04-01,0.0,31.0
South Sudan,Adenovirus,Adenovirus,ADENO,2019-05-01,0.0,30.0
South Sudan,Adenovirus,Adenovirus,ADENO,2019-06-01,0.0,19.0
South Sudan,Adenovirus,Adenovirus,ADENO,2019-07-01,0.0,6.0
South Sudan,Adenovirus,Adenovirus,ADENO,2019-08-01,0.0,26.0
South Sudan,Adenovirus,Adenovirus,ADENO,2019-09-01,0.0,45.0
South Sudan,Adenovirus,Adenovirus,ADENO,2019-10-01,0.0,30.0
South Sudan,Adenovirus,Adenovirus,ADENO,2019-11-01,0.0,14.0
South Sudan,Adenovirus,Adenovirus,ADENO,2019-12-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2020-01-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2020-02-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2020-03-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2020-04-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2020-05-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2020-06-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2020-07-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2020-08-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2020-09-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2020-10-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2020-11-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2020-12-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2021-01-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2021-02-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2021-03-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2021-04-01,0.0,138.0
South Sudan,Adenovirus,Adenovirus,ADENO,2021-05-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2021-06-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2021-07-01,0.0,0.0
South Sudan,Adenovirus,Adenovirus,ADENO,2021-08-01,0.0,28.0
South Sudan,Adenovirus,Adenovirus,ADENO,2021-09-01,0.0,21.0
South Sudan,Adenovirus,Adenovirus,ADENO,2021-10-01,0.0,17.0
South Sudan,Adenovirus,Adenovirus,ADENO,2021-11-01,0.0,28.0
South Sudan,Adenovirus,Adenovirus,ADENO,2021-12-01,0.0,34.0
South Sudan,Adenovirus,Adenovirus,ADENO,2022-01-01,0.0,41.0
South Sudan,Adenovirus,Adenovirus,ADENO,2022-02-01,0.0,65.0
South Sudan,Adenovirus,Adenovirus,ADENO,2022-03-01,0.0,19.0
South Sudan,Adenovirus,Adenovirus,ADENO,2022-04-01,0.0,16.0
South Sudan,Adenovirus,Adenovirus,ADENO,2022-05-01,0.0,85.0
South Sudan,Adenovirus,Adenovirus,ADENO,2022-06-01,0.0,71.0
South Sudan,Adenovirus,Adenovirus,ADENO,2022-07-01,0.0,56.0
South Sudan,Adenovirus,Adenovirus,ADENO,2022-08-01,0.0,69.0
South Sudan,Adenovirus,Adenovirus,ADENO,2022-09-01,0.0,46.0
South Sudan,Adenovirus,Adenovirus,ADENO,2022-10-01,0.0,25.0
South Sudan,Adenovirus,Adenovirus,ADENO,2022-11-01,0.0,72.0
South Sudan,Adenovirus,Adenovirus,ADENO,2022-12-01,0.0,34.0
South Sudan,Adenovirus,Adenovirus,ADENO,2023-01-01,0.0,59.0
South Sudan,Adenovirus,Adenovirus,ADENO,2023-02-01,0.0,68.0
South Sudan,Adenovirus,Adenovirus,ADENO,2023-03-01,0.0,39.0
South Sudan,Adenovirus,Adenovirus,ADENO,2023-04-01,0.0,44.0
South Sudan,Adenovirus,Adenovirus,ADENO,2023-05-01,0.0,108.0
South Sudan,Adenovirus,Adenovirus,ADENO,2023-06-01,0.0,85.0
South Sudan,Adenovirus,Adenovirus,ADENO,2023-07-01,0.0,91.0
South Sudan,Adenovirus,Adenovirus,ADENO,2023-08-01,0.0,87.0
South Sudan,Adenovirus,Adenovirus,ADENO,2023-09-01,0.0,127.0
South Sudan,Adenovirus,Adenovirus,ADENO,2023-10-01,0.0,154.0
South Sudan,Adenovirus,Adenovirus,ADENO,2023-11-01,0.0,87.0
South Sudan,Adenovirus,Adenovirus,ADENO,2023-12-01,0.0,42.0
South Sudan,Adenovirus,Adenovirus,ADENO,2024-01-01,0.0,133.0
South Sudan,Adenovirus,Adenovirus,ADENO,2024-02-01,0.0,91.0
South Sudan,Adenovirus,Adenovirus,ADENO,2024-03-01,0.0,140.0
