country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Togo,RSV,RSV,RSV,2010-04-01,0.0,5.0
Togo,RSV,RSV,RSV,2010-05-01,0.0,27.0
Togo,RSV,RSV,RSV,2010-06-01,0.0,0.0
Togo,RSV,RSV,RSV,2010-07-01,0.0,1.0
Togo,RSV,RSV,RSV,2010-08-01,0.0,9.0
Togo,RSV,RSV,RSV,2010-09-01,0.0,1.0
Togo,RSV,RSV,RSV,2010-10-01,0.0,13.0
Togo,RSV,RSV,RSV,2010-11-01,0.0,24.0
Togo,RSV,RSV,RSV,2010-12-01,0.0,7.0
Togo,RSV,RSV,RSV,2011-01-01,0.0,33.0
Togo,RSV,RSV,RSV,2011-02-01,0.0,27.0
Togo,RSV,RSV,RSV,2011-03-01,0.0,14.0
Togo,RSV,RSV,RSV,2011-04-01,0.0,6.0
Togo,RSV,RSV,RSV,2011-05-01,0.0,54.0
Togo,RSV,RSV,RSV,2011-06-01,0.0,5.0
Togo,RSV,RSV,RSV,2011-07-01,0.0,21.0
Togo,RSV,RSV,RSV,2011-08-01,0.0,45.0
Togo,RSV,RSV,RSV,2011-09-01,0.0,29.0
Togo,RSV,RSV,RSV,2011-10-01,0.0,59.0
Togo,RSV,RSV,RSV,2011-11-01,0.0,13.0
Togo,RSV,RSV,RSV,2011-12-01,0.0,29.0
Togo,RSV,RSV,RSV,2012-01-01,0.0,37.0
Togo,RSV,RSV,RSV,2012-02-01,0.0,34.0
Togo,RSV,RSV,RSV,2012-03-01,0.0,29.0
Togo,RSV,RSV,RSV,2012-04-01,0.0,50.0
Togo,RSV,RSV,RSV,2012-05-01,0.0,26.0
Togo,RSV,RSV,RSV,2012-06-01,0.0,36.0
Togo,RSV,RSV,RSV,2012-07-01,0.0,27.0
Togo,RSV,RSV,RSV,2012-08-01,0.0,43.0
Togo,RSV,RSV,RSV,2012-09-01,0.0,33.0
Togo,RSV,RSV,RSV,2012-10-01,0.0,109.0
Togo,RSV,RSV,RSV,2012-11-01,0.0,46.0
Togo,RSV,RSV,RSV,2012-12-01,0.0,66.0
Togo,RSV,RSV,RSV,2013-01-01,0.0,34.0
Togo,RSV,RSV,RSV,2013-02-01,0.0,51.0
Togo,RSV,RSV,RSV,2013-03-01,0.0,60.0
Togo,RSV,RSV,RSV,2013-04-01,0.0,30.0
Togo,RSV,RSV,RSV,2013-05-01,0.0,23.0
Togo,RSV,RSV,RSV,2013-06-01,0.0,41.0
Togo,RSV,RSV,RSV,2013-07-01,0.0,43.0
Togo,RSV,RSV,RSV,2013-08-01,0.0,25.0
Togo,RSV,RSV,RSV,2013-09-01,0.0,50.0
Togo,RSV,RSV,RSV,2013-10-01,0.0,43.0
Togo,RSV,RSV,RSV,2013-11-01,0.0,34.0
Togo,RSV,RSV,RSV,2013-12-01,0.0,22.0
Togo,RSV,RSV,RSV,2014-01-01,0.0,46.0
Togo,RSV,RSV,RSV,2014-02-01,0.0,43.0
Togo,RSV,RSV,RSV,2014-03-01,0.0,39.0
Togo,RSV,RSV,RSV,2014-04-01,0.0,0.0
Togo,RSV,RSV,RSV,2014-05-01,0.0,0.0
Togo,RSV,RSV,RSV,2014-06-01,0.0,0.0
Togo,RSV,RSV,RSV,2014-07-01,0.0,0.0
Togo,RSV,RSV,RSV,2014-08-01,0.0,0.0
Togo,RSV,RSV,RSV,2014-09-01,0.0,0.0
Togo,RSV,RSV,RSV,2014-10-01,0.0,0.0
Togo,RSV,RSV,RSV,2014-11-01,0.0,0.0
Togo,RSV,RSV,RSV,2014-12-01,0.0,0.0
Togo,RSV,RSV,RSV,2015-01-01,0.0,43.0
Togo,RSV,RSV,RSV,2015-02-01,0.0,40.0
Togo,RSV,RSV,RSV,2015-03-01,0.0,35.0
Togo,RSV,RSV,RSV,2015-04-01,0.0,40.0
Togo,RSV,RSV,RSV,2015-05-01,0.0,26.0
Togo,RSV,RSV,RSV,2015-06-01,0.0,67.0
Togo,RSV,RSV,RSV,2015-07-01,0.0,26.0
Togo,RSV,RSV,RSV,2015-08-01,0.0,37.0
Togo,RSV,RSV,RSV,2015-09-01,0.0,19.0
Togo,RSV,RSV,RSV,2015-10-01,0.0,127.0
Togo,RSV,RSV,RSV,2015-11-01,0.0,98.0
Togo,RSV,RSV,RSV,2015-12-01,0.0,54.0
Togo,RSV,RSV,RSV,2016-01-01,0.0,22.0
Togo,RSV,RSV,RSV,2016-02-01,0.0,39.0
Togo,RSV,RSV,RSV,2016-03-01,0.0,26.0
Togo,RSV,RSV,RSV,2016-04-01,0.0,14.0
Togo,RSV,RSV,RSV,2016-05-01,0.0,81.0
Togo,RSV,RSV,RSV,2016-06-01,0.0,91.0
Togo,RSV,RSV,RSV,2016-07-01,0.0,31.0
Togo,RSV,RSV,RSV,2016-08-01,0.0,29.0
Togo,RSV,RSV,RSV,2016-09-01,0.0,37.0
Togo,RSV,RSV,RSV,2016-10-01,0.0,127.0
Togo,RSV,RSV,RSV,2016-11-01,0.0,144.0
Togo,RSV,RSV,RSV,2016-12-01,0.0,82.0
Togo,RSV,RSV,RSV,2017-01-01,0.0,112.0
Togo,RSV,RSV,RSV,2017-02-01,0.0,77.0
