country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Tonga,InfluenzaA,InfluenzaA,INF_A,2024-12-01,0.0,25.0
Tonga,InfluenzaA,InfluenzaA,INF_A,2025-01-01,0.0,189.0
Tonga,InfluenzaA,InfluenzaA,INF_A,2025-02-01,0.0,55.0
Tonga,InfluenzaA,InfluenzaA,INF_A,2025-03-01,0.0,176.0
Tonga,InfluenzaA,InfluenzaA,INF_A,2025-04-01,0.0,538.0
Tonga,InfluenzaA,InfluenzaA,INF_A,2025-05-01,0.0,277.0
Tonga,InfluenzaA,InfluenzaA,INF_A,2025-06-01,1.0,209.0
Tonga,InfluenzaA,InfluenzaA,INF_A,2025-07-01,1.0,130.0
Tonga,InfluenzaA,InfluenzaA,INF_A,2025-08-01,8.0,122.0
Tonga,InfluenzaA,InfluenzaA,INF_A,2025-09-01,19.0,274.0
Tonga,InfluenzaA,InfluenzaA,INF_A,2025-10-01,89.0,283.0
Tonga,InfluenzaA,InfluenzaA,INF_A,2025-11-01,44.0,50.0
