country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2006-03-01,0.0,15.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2006-04-01,0.0,6.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2006-05-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2006-06-01,0.0,2.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2006-07-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2006-08-01,0.0,6.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2006-09-01,0.0,6.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2006-10-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2006-11-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2006-12-01,0.0,2.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2007-01-01,0.0,2.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2007-02-01,0.0,4.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2007-03-01,0.0,15.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2007-04-01,0.0,46.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2007-05-01,0.0,27.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2007-06-01,0.0,20.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2007-07-01,0.0,37.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2007-08-01,0.0,55.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2007-09-01,0.0,58.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2007-10-01,0.0,127.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2007-11-01,0.0,56.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2007-12-01,0.0,36.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2008-01-01,0.0,52.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2008-02-01,0.0,55.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2008-03-01,0.0,90.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2008-04-01,0.0,70.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2008-05-01,0.0,41.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2008-06-01,0.0,3.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2008-07-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2008-08-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2008-09-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2008-10-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2008-11-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2008-12-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2009-01-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2009-02-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2009-03-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2009-04-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2009-05-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2009-06-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2009-07-01,0.0,19.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2009-08-01,0.0,66.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2009-09-01,0.0,428.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2009-10-01,0.0,155.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2009-11-01,0.0,48.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2009-12-01,0.0,45.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2010-01-01,0.0,80.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2010-02-01,0.0,131.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2010-03-01,0.0,167.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2010-04-01,0.0,233.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2010-05-01,0.0,214.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2010-06-01,0.0,204.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2010-07-01,0.0,124.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2010-08-01,0.0,138.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2010-09-01,0.0,193.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2010-10-01,0.0,175.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2010-11-01,0.0,139.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2010-12-01,0.0,52.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-01-01,0.0,66.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-02-01,0.0,111.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-03-01,0.0,179.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-04-01,0.0,152.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-05-01,0.0,196.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-06-01,0.0,129.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-07-01,0.0,173.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-08-01,0.0,199.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-09-01,0.0,212.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-10-01,0.0,371.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-11-01,0.0,356.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2011-12-01,0.0,113.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-01-01,0.0,377.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-02-01,0.0,179.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-03-01,0.0,280.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-04-01,0.0,327.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-05-01,0.0,217.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-06-01,0.0,220.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-07-01,0.0,284.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-08-01,0.0,55.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-09-01,0.0,207.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-10-01,0.0,335.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-11-01,0.0,213.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2012-12-01,0.0,83.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2013-01-01,0.0,220.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2013-02-01,0.0,255.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2013-03-01,0.0,238.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2013-04-01,0.0,448.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2013-05-01,0.0,306.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2013-06-01,0.0,311.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2013-07-01,0.0,414.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2013-08-01,0.0,362.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2013-09-01,0.0,395.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2013-10-01,0.0,261.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2013-11-01,0.0,38.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2013-12-01,0.0,38.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2014-01-01,0.0,344.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2014-02-01,0.0,385.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2014-03-01,0.0,512.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2014-04-01,0.0,345.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2014-05-01,0.0,218.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2014-06-01,0.0,411.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2014-07-01,0.0,278.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2014-08-01,0.0,247.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2014-09-01,0.0,187.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2014-10-01,0.0,136.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2014-11-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2014-12-01,0.0,0.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2015-01-01,0.0,259.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2015-02-01,0.0,122.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2015-03-01,0.0,221.0
Uganda,Parainfluenza,Parainfluenza,PARAINFLUENZA,2015-04-01,0.0,280.0
