country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Ukraine,InfluenzaA,InfluenzaA,INF_A,2006-10-01,0.0,52.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2006-11-01,0.0,106.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2006-12-01,0.0,161.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2007-01-01,0.0,55.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2007-02-01,6.0,110.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2007-03-01,19.0,138.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2007-04-01,12.0,186.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2007-05-01,0.0,69.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2007-06-01,0.0,0.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2007-07-01,0.0,0.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2007-08-01,0.0,0.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2007-09-01,0.0,0.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2007-10-01,0.0,120.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2007-11-01,0.0,45.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2007-12-01,0.0,244.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2008-01-01,4.0,199.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2008-02-01,22.0,119.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2008-03-01,14.0,190.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2008-04-01,2.0,100.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2008-05-01,0.0,0.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2008-06-01,0.0,0.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2008-07-01,0.0,0.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2008-08-01,0.0,0.0
Ukraine,InfluenzaA,InfluenzaA,INF_A,2008-09-01,0.0,71.0
