country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
United Arab Emirates,RSV,RSV,RSV,2019-12-01,5.0,41.0
United Arab Emirates,RSV,RSV,RSV,2020-01-01,23.0,421.0
United Arab Emirates,RSV,RSV,RSV,2020-02-01,10.0,584.0
United Arab Emirates,RSV,RSV,RSV,2020-03-01,6.0,245.0
United Arab Emirates,RSV,RSV,RSV,2020-04-01,0.0,2.0
United Arab Emirates,RSV,RSV,RSV,2020-05-01,0.0,15.0
United Arab Emirates,RSV,RSV,RSV,2020-06-01,0.0,39.0
United Arab Emirates,RSV,RSV,RSV,2020-07-01,0.0,36.0
United Arab Emirates,RSV,RSV,RSV,2020-08-01,0.0,46.0
United Arab Emirates,RSV,RSV,RSV,2020-09-01,3.0,61.0
United Arab Emirates,RSV,RSV,RSV,2020-10-01,3.0,51.0
United Arab Emirates,RSV,RSV,RSV,2020-11-01,5.0,91.0
United Arab Emirates,RSV,RSV,RSV,2020-12-01,3.0,98.0
United Arab Emirates,RSV,RSV,RSV,2021-01-01,13.0,88.0
United Arab Emirates,RSV,RSV,RSV,2021-02-01,8.0,49.0
United Arab Emirates,RSV,RSV,RSV,2021-03-01,18.0,126.0
United Arab Emirates,RSV,RSV,RSV,2021-04-01,20.0,101.0
United Arab Emirates,RSV,RSV,RSV,2021-05-01,18.0,101.0
United Arab Emirates,RSV,RSV,RSV,2021-06-01,18.0,69.0
United Arab Emirates,RSV,RSV,RSV,2021-07-01,32.0,90.0
United Arab Emirates,RSV,RSV,RSV,2021-08-01,62.0,136.0
United Arab Emirates,RSV,RSV,RSV,2021-09-01,51.0,122.0
United Arab Emirates,RSV,RSV,RSV,2021-10-01,72.0,218.0
United Arab Emirates,RSV,RSV,RSV,2021-11-01,50.0,379.0
United Arab Emirates,RSV,RSV,RSV,2021-12-01,29.0,216.0
United Arab Emirates,RSV,RSV,RSV,2022-01-01,16.0,177.0
United Arab Emirates,RSV,RSV,RSV,2022-02-01,5.0,139.0
United Arab Emirates,RSV,RSV,RSV,2022-03-01,1.0,139.0
United Arab Emirates,RSV,RSV,RSV,2022-04-01,7.0,156.0
United Arab Emirates,RSV,RSV,RSV,2022-05-01,8.0,159.0
United Arab Emirates,RSV,RSV,RSV,2022-06-01,1.0,152.0
United Arab Emirates,RSV,RSV,RSV,2022-07-01,5.0,327.0
United Arab Emirates,RSV,RSV,RSV,2022-08-01,35.0,669.0
United Arab Emirates,RSV,RSV,RSV,2022-09-01,78.0,1016.0
United Arab Emirates,RSV,RSV,RSV,2022-10-01,200.0,1370.0
United Arab Emirates,RSV,RSV,RSV,2022-11-01,154.0,2018.0
United Arab Emirates,RSV,RSV,RSV,2022-12-01,49.0,847.0
United Arab Emirates,RSV,RSV,RSV,2023-01-01,29.0,907.0
United Arab Emirates,RSV,RSV,RSV,2023-02-01,14.0,1065.0
United Arab Emirates,RSV,RSV,RSV,2023-03-01,16.0,1015.0
United Arab Emirates,RSV,RSV,RSV,2023-04-01,35.0,2551.0
United Arab Emirates,RSV,RSV,RSV,2023-05-01,76.0,4554.0
United Arab Emirates,RSV,RSV,RSV,2023-06-01,71.0,2759.0
United Arab Emirates,RSV,RSV,RSV,2023-07-01,111.0,2547.0
United Arab Emirates,RSV,RSV,RSV,2023-08-01,234.0,2733.0
United Arab Emirates,RSV,RSV,RSV,2023-09-01,557.0,4663.0
United Arab Emirates,RSV,RSV,RSV,2023-10-01,1439.0,5140.0
United Arab Emirates,RSV,RSV,RSV,2023-11-01,554.0,5234.0
United Arab Emirates,RSV,RSV,RSV,2023-12-01,417.0,7141.0
United Arab Emirates,RSV,RSV,RSV,2024-01-01,337.0,8565.0
United Arab Emirates,RSV,RSV,RSV,2024-02-01,108.0,5848.0
United Arab Emirates,RSV,RSV,RSV,2024-03-01,130.0,5312.0
United Arab Emirates,RSV,RSV,RSV,2024-04-01,94.0,5171.0
United Arab Emirates,RSV,RSV,RSV,2024-05-01,108.0,5850.0
United Arab Emirates,RSV,RSV,RSV,2024-06-01,126.0,4191.0
United Arab Emirates,RSV,RSV,RSV,2024-07-01,266.0,3993.0
United Arab Emirates,RSV,RSV,RSV,2024-08-01,353.0,3225.0
United Arab Emirates,RSV,RSV,RSV,2024-09-01,1116.0,6257.0
United Arab Emirates,RSV,RSV,RSV,2024-10-01,1770.0,6038.0
United Arab Emirates,RSV,RSV,RSV,2024-11-01,1098.0,6532.0
United Arab Emirates,RSV,RSV,RSV,2024-12-01,364.0,6011.0
United Arab Emirates,RSV,RSV,RSV,2025-01-01,149.0,5831.0
United Arab Emirates,RSV,RSV,RSV,2025-02-01,100.0,6074.0
United Arab Emirates,RSV,RSV,RSV,2025-03-01,72.0,6256.0
United Arab Emirates,RSV,RSV,RSV,2025-04-01,50.0,5888.0
United Arab Emirates,RSV,RSV,RSV,2025-05-01,80.0,6050.0
United Arab Emirates,RSV,RSV,RSV,2025-06-01,73.0,4847.0
United Arab Emirates,RSV,RSV,RSV,2025-07-01,68.0,3275.0
United Arab Emirates,RSV,RSV,RSV,2025-08-01,145.0,3551.0
United Arab Emirates,RSV,RSV,RSV,2025-09-01,488.0,6936.0
United Arab Emirates,RSV,RSV,RSV,2025-10-01,1083.0,7190.0
United Arab Emirates,RSV,RSV,RSV,2025-11-01,1723.0,6934.0
United Arab Emirates,RSV,RSV,RSV,2025-12-01,818.0,5778.0
United Arab Emirates,RSV,RSV,RSV,2026-01-01,429.0,4839.0
United Arab Emirates,RSV,RSV,RSV,2026-02-01,298.0,4420.0
United Arab Emirates,RSV,RSV,RSV,2026-03-01,146.0,3089.0
United Arab Emirates,RSV,RSV,RSV,2026-04-01,115.0,2653.0
United Arab Emirates,RSV,RSV,RSV,2026-05-01,31.0,1275.0
