country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1996-12-01,30.0,0.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1997-01-01,264.0,0.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1997-02-01,73.0,0.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1997-03-01,4.0,18.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1997-04-01,1.0,6.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1997-05-01,1.0,1.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1997-06-01,1.0,1.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1997-07-01,0.0,0.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1997-08-01,3.0,0.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1997-09-01,1.0,1.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1997-10-01,0.0,0.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1997-11-01,1.0,0.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1997-12-01,24.0,175.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1998-01-01,93.0,317.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1998-02-01,284.0,592.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1998-03-01,116.0,0.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1998-04-01,37.0,15.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1998-05-01,16.0,17.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1998-06-01,1.0,4.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1998-07-01,0.0,0.0
"United Kingdom, England",InfluenzaA,InfluenzaA,INF_A,1998-08-01,0.0,0.0
