country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2006-01-01,4.0,167.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2006-02-01,1.0,231.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2006-03-01,6.0,275.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2006-04-01,16.0,306.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2006-05-01,78.0,362.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2006-06-01,98.0,273.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2006-07-01,105.0,371.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2006-08-01,72.0,457.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2006-09-01,31.0,423.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2006-10-01,25.0,510.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2006-11-01,29.0,359.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2006-12-01,16.0,412.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2007-01-01,113.0,610.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2007-02-01,46.0,254.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2007-03-01,73.0,458.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2007-04-01,66.0,546.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2007-05-01,17.0,469.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2007-06-01,63.0,447.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2007-07-01,204.0,716.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2007-08-01,88.0,546.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2007-09-01,45.0,409.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2007-10-01,61.0,700.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2007-11-01,18.0,544.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2007-12-01,13.0,640.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2008-01-01,6.0,367.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2008-02-01,4.0,417.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2008-03-01,31.0,737.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2008-04-01,36.0,533.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2008-05-01,67.0,608.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2008-06-01,156.0,725.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2008-07-01,164.0,555.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2008-08-01,115.0,576.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2008-09-01,95.0,701.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2008-10-01,64.0,567.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2008-11-01,83.0,545.0
Viet Nam,InfluenzaA,InfluenzaA,INF_A,2008-12-01,51.0,589.0
