country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-01-01,0.0,182.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-02-01,0.0,118.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-03-01,0.0,80.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-04-01,0.0,37.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-05-01,0.0,31.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-06-01,0.0,11.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-07-01,0.0,5.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-08-01,0.0,11.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-09-01,0.0,47.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-10-01,0.0,69.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-11-01,0.0,56.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2017-12-01,0.0,415.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-01-01,0.0,582.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-02-01,0.0,179.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-03-01,0.0,187.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-04-01,0.0,162.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-05-01,0.0,65.0
"occupied Palestinian territory, including east Jerusalem",Metapneumovirus,Metapneumovirus,METAPNEUMO,2018-06-01,0.0,24.0
