country,pathogen,pathogen_label,pathogen_column,max_count,n_months,dq_pass,dq_reason,dq_set_triggered,dq_longest_zero_run_months,months_above_low_activity_threshold,post_nonzero_months,status,reason,threshold,dip_time,last_pre_time,rebound_time,suppression_duration_months,is_right_censored,series_end,pre2020_baseline_start,pre2020_longest_below_threshold_run_months,pre2020_effective_baseline_run_months,excess_gap_months,suppression_zero_processed_run_months,country_level_no_excess_gap_warning
Afghanistan,RSV,RSV,RSV,0.0,201,False,all_zero,none,,0,0,excluded,all_zero,,,,,,False,2026-05-01,,,,,,
Afghanistan,Metapneumovirus,Metapneumovirus,METAPNEUMO,0.0,201,False,all_zero,none,,0,0,excluded,all_zero,,,,,,False,2026-05-01,,,,,,
Afghanistan,Parainfluenza,Parainfluenza,PARAINFLUENZA,0.0,201,False,all_zero,none,,0,0,excluded,all_zero,,,,,,False,2026-05-01,,,,,,
Afghanistan,Adenovirus,Adenovirus,ADENO,0.0,201,False,all_zero,none,,0,0,excluded,all_zero,,,,,,False,2026-05-01,,,,,,
Afghanistan,InfluenzaA,InfluenzaA,INF_A,177.0,201,True,,none,,22,35,ok,observed_rebound,8.15,2020-04-01,2020-03-01,2021-11-01,20.0,False,2026-05-01,2015-03-01,16.0,12.0,8.0,4.0,False
Afghanistan,InfluenzaB,InfluenzaB,INF_B,41.0,201,True,,none,,2,40,ok,observed_rebound,1.1,2020-04-01,2020-03-01,2020-10-01,7.0,False,2026-05-01,2015-03-01,10.0,10.0,0.0,4.0,True
Albania,RSV,RSV,RSV,13.0,353,False,low_activity_all_months_below_threshold,none,,0,5,excluded,low_activity_all_months_below_threshold,,,,,,False,2026-04-01,,,,,,
Albania,Metapneumovirus,Metapneumovirus,METAPNEUMO,0.0,353,False,all_zero,none,,0,0,excluded,all_zero,,,,,,False,2026-04-01,,,,,,
Albania,Parainfluenza,Parainfluenza,PARAINFLUENZA,0.0,353,False,all_zero,none,,0,0,excluded,all_zero,,,,,,False,2026-04-01,,,,,,
Albania,Adenovirus,Adenovirus,ADENO,0.0,353,False,all_zero,none,,0,0,excluded,all_zero,,,,,,False,2026-04-01,,,,,,
Albania,InfluenzaA,InfluenzaA,INF_A,949.0,353,True,,none,,31,35,ok,observed_rebound,12.2,2020-04-01,2020-03-01,2021-12-01,21.0,False,2026-04-01,2015-03-01,11.0,11.0,10.0,8.0,False
Albania,InfluenzaB,InfluenzaB,INF_B,174.0,353,True,,none,,16,19,ok,observed_rebound,7.15,2020-04-01,2020-03-01,2023-01-01,34.0,False,2026-04-01,2015-03-01,21.0,12.0,22.0,8.0,False
Algeria,RSV,RSV,RSV,10.0,340,False,low_activity_all_months_below_threshold,none,,0,0,excluded,low_activity_all_months_below_threshold,,,,,,False,2026-05-01,,,,,,
Algeria,Metapneumovirus,Metapneumovirus,METAPNEUMO,0.0,340,False,all_zero,none,,0,0,excluded,all_zero,,,,,,False,2026-05-01,,,,,,
Algeria,Parainfluenza,Parainfluenza,PARAINFLUENZA,0.0,340,False,all_zero,none,,0,0,excluded,all_zero,,,,,,False,2026-05-01,,,,,,
Algeria,Adenovirus,Adenovirus,ADENO,2.0,340,False,low_activity_all_months_below_threshold,none,,0,0,excluded,low_activity_all_months_below_threshold,,,,,,False,2026-05-01,,,,,,
Algeria,InfluenzaA,InfluenzaA,INF_A,313.0,340,True,,none,,36,29,excluded,zero_testing_explains_excess_gap,14.4,2020-04-01,2020-03-01,2021-11-01,20.0,False,2026-05-01,2015-03-01,21.0,12.0,8.0,9.0,False
Algeria,InfluenzaB,InfluenzaB,INF_B,121.0,340,True,,none,,13,24,ok,observed_rebound,6.05,2020-04-01,2020-03-01,2022-11-01,32.0,False,2026-05-01,2015-03-01,21.0,12.0,20.0,9.0,False
Angola,RSV,RSV,RSV,0.0,181,False,all_zero,none,,0,0,excluded,all_zero,,,,,,False,2025-01-01,,,,,,
Angola,Metapneumovirus,Metapneumovirus,METAPNEUMO,0.0,181,False,all_zero,none,,0,0,excluded,all_zero,,,,,,False,2025-01-01,,,,,,
