Hospitalization date,<3m,3-11m,1-4y,5-17y,18-39y,40-64y,>=65y
2015-10-01,0.0,0.0,4.666106592556507e-07,6.52607638935136e-09,0.0,6.181944667349559e-08,0.0
2015-10-02,0.0,0.0,7.583152111789971e-07,3.181768074001396e-08,0.0,4.657981040888446e-08,0.0
2015-10-03,0.0,0.0,2.9602652863654906e-07,3.105198682513646e-08,0.0,5.348101786006062e-08,0.0
2015-10-04,0.0,0.0,1.4456882620639684e-07,6.0658743084449664e-09,0.0,5.223645334736202e-08,0.0
2015-10-05,0.0,0.0,1.4131303146484326e-07,1.1858532845625872e-08,0.0,6.12720606719096e-08,0.0
2015-10-06,0.0,0.0,5.529237834296471e-07,1.1599894183431085e-08,0.0,4.2454451366393385e-08,0.0
2015-10-07,0.0,0.0,4.0592751250044873e-07,5.6773541336223265e-09,0.0,7.089151578537923e-08,0.0
2015-10-08,0.0,0.0,1.3253565107811967e-07,2.7804908635006254e-08,0.0,5.0282983979868676e-08,0.0
2015-10-09,0.0,0.0,0.0,2.1801494080244606e-08,0.0,4.458924785574578e-08,0.0
2015-10-10,0.0,0.0,1.273909105093956e-07,2.1380466908824153e-08,0.0,4.372814701415338e-08,0.0
2015-10-11,0.0,0.0,1.250009310412425e-07,5.244837051192874e-09,0.0,5.6457583855167936e-08,1.8330879879759182e-07
2015-10-12,0.0,0.0,1.2272146403131745e-07,0.0,0.0,5.542804592464268e-08,2.563152873490732e-07
2015-10-13,0.0,0.0,2.4109024784120175e-07,5.057878585486731e-09,0.0,6.533410321400071e-08,2.464129927250175e-07
2015-10-14,0.0,0.0,1.1846516876605511e-07,1.9882428114556124e-08,0.0,4.280452725472562e-08,2.7374748949042585e-07
2015-10-15,0.0,0.0,1.1647543162245712e-07,4.887120873728439e-09,0.0,3.99813046092337e-08,2.2774199927731395e-07
2015-10-16,0.0,0.0,0.0,1.4421548919672354e-08,0.0,4.346705605185877e-08,1.883778121363766e-07
2015-10-17,0.0,0.0,1.1274446580519027e-07,4.730575577688371e-09,0.0,4.073748942111478e-08,2.555180198451445e-07
2015-10-18,0.0,0.0,2.2198654763563553e-07,1.8628393568070825e-08,0.0,3.609426464623938e-08,1.4303778727319315e-07
2015-10-19,0.0,0.0,1.0931228602322596e-07,1.834626744327359e-08,0.0,4.3447089575818845e-08,1.3115621190717063e-07
2015-10-20,0.0,0.0,3.230923286198192e-07,1.807524260804437e-08,0.0,3.307678915446808e-08,2.2972208690810314e-07
2015-10-21,0.0,0.0,4.245799670593017e-07,4.453672312432925e-09,0.0,3.068234310743317e-08,1.6037421685419164e-07
