Hospitalization date,<3m,3-11m,1-4y,5-17y,18-39y,40-64y,>=65y
2015-10-01,0.0,0.0,0.0,0.0,0.0,6.748439792189909e-08,2.6614272427687216e-07
2015-10-02,0.0,0.0,7.280577499702275e-07,0.0,0.0,5.0848246464610944e-08,2.0862898306126687e-07
2015-10-03,0.0,0.0,2.842148030177775e-07,0.0,0.0,5.8381860154757745e-08,1.8871014766855887e-07
2015-10-04,0.0,0.0,1.3880039958584093e-07,0.0,0.0,5.702324743119165e-08,1.4551472091298934e-07
2015-10-05,0.0,0.0,1.3567451399241467e-07,0.0,0.0,6.688685108614355e-08,1.8490891111824532e-07
2015-10-06,0.0,0.0,5.30861625527635e-07,0.0,0.0,4.634485172113239e-08,1.716002929365331e-07
2015-10-07,0.0,0.0,3.8973063845389157e-07,0.0,0.0,7.73878046145347e-08,3.1393993859998415e-07
2015-10-08,0.0,0.0,1.272473590035873e-07,0.0,0.0,5.489076790868112e-08,4.5221310035938784e-07
2015-10-09,0.0,0.0,0.0,0.0,0.0,4.8675274646633864e-08,2.836598777550211e-07
2015-10-10,0.0,0.0,1.223078982260273e-07,2.8573443683771595e-08,0.0,4.77352650708151e-08,3.477273511267013e-07
2015-10-11,0.0,0.0,2.296971613350262e-07,7.009344405428617e-09,0.0,6.163118985380109e-08,2.814930047525874e-07
2015-10-12,0.0,0.0,2.2550849572129676e-07,0.0,0.0,6.05073081124098e-08,3.936033669588441e-07
2015-10-13,0.0,0.0,4.430186646882717e-07,6.75948797273986e-09,0.0,1.2889344840815667e-07,3.783971865356737e-07
2015-10-14,0.0,0.0,2.176872824543979e-07,2.657142346098326e-08,2.5493621262318035e-08,8.444629762914087e-08,4.203726382235703e-07
2015-10-15,0.0,0.0,2.1403101389799393e-07,6.531282672953747e-09,3.938853478060905e-08,7.887654332778433e-08,3.497256002191145e-07
2015-10-16,0.0,0.0,0.0,1.9273354396154183e-08,1.7611028384594777e-08,8.575335806360475e-08,2.8927709261539113e-07
2015-10-17,0.0,0.0,2.0717512690478853e-07,6.322071236204716e-09,1.0398227141114903e-08,8.036837168759167e-08,3.923790655246272e-07
2015-10-18,0.0,0.0,4.079144004907023e-07,2.4895497222126752e-08,2.3885674708015976e-08,7.120805229042227e-08,2.6410780739400694e-07
2015-10-19,0.0,0.0,2.0086827825540883e-07,2.451845611385762e-08,4.032673253685137e-08,8.571396748773787e-08,2.4216943098223095e-07
2015-10-20,0.0,0.0,5.937027037711435e-07,2.415625107411972e-08,2.6487330513671766e-08,6.525506904754284e-08,4.2416341751285697e-07
2015-10-21,0.0,0.0,7.801926944133196e-07,5.952010100993329e-09,1.95791381223009e-08,6.053122050830902e-08,2.961181348184176e-07
2015-10-22,0.0,0.0,3.846074227096631e-07,2.347304486470561e-08,2.2520920511951383e-08,5.967950451183712e-08,4.3792732282277496e-07
2015-10-23,0.0,0.0,3.793231913495483e-07,2.3150541989130337e-08,2.8557641758012807e-08,5.97559859980608e-08,2.6253384190880867e-07
2015-10-24,0.0,0.0,5.613489936798617e-07,5.7099652508750545e-09,2.1913420143343545e-08,8.843108824171102e-08,2.2558990326494313e-07
2015-10-25,0.0,0.0,3.693256179174043e-07,5.63509457122767e-09,0.0,1.0666523364033098e-07,3.87544426589924e-07
2015-10-26,0.0,0.0,5.468888182364297e-07,2.225151328945307e-08,2.1348937257641427e-08,8.615313091921508e-08,3.1745823422024004e-07
2015-10-27,0.0,0.0,3.6002457885412076e-07,1.6479543671376978e-08,3.3128004179871276e-08,1.1815794652808602e-07,4.099364459926241e-07
2015-10-28,0.0,0.0,0.0,0.0,2.379789773202476e-08,2.1531320397457508e-07,2.8582148811939093e-07
2015-10-29,0.0,0.0,3.513514091271973e-07,1.0721695555972207e-08,1.4695424643223046e-08,1.2248244677488644e-07,4.40095965443228e-07
2015-10-30,0.0,0.0,5.208468656206754e-07,2.1191932556788962e-08,4.0664671443941745e-08,1.0830444225569158e-07,2.8995675076139633e-07
2015-10-31,0.0,0.0,5.148692639615757e-07,2.0948719168032107e-08,8.61385185669758e-09,1.0076373175377212e-07,2.675204046576841e-07
2015-11-01,0.0,0.0,5.083922517630987e-07,1.0348481547123172e-08,1.701750911341626e-08,8.08764770640052e-08,3.0051053389867354e-07
2015-11-02,0.0,0.0,6.703994441790006e-07,2.0469282094372338e-08,1.4025253890304053e-08,2.153490217936037e-07,4.179441218337459e-07
2015-11-03,0.0,0.0,0.0,1.0124374086677959e-08,2.7748294520815286e-08,1.1564424576702719e-07,3.0164712935147507e-07
2015-11-04,0.0,0.0,0.0,1.0017520261773228e-08,1.0982174313676558e-08,1.1695931971800116e-07,4.5835467663587567e-07
2015-11-05,0.0,0.0,1.6234795639935567e-07,2.9741785848760094e-08,5.434303567745825e-09,1.31183149645976e-07,4.53614809488751e-07
2015-11-06,0.0,0.0,1.6070265821673764e-07,4.906728477948437e-09,2.689615096679226e-08,2.0179303010684218e-07,4.490176982086769e-07
2015-11-07,0.0,0.0,6.364250271866978e-07,9.715971221721935e-09,2.396607097260187e-08,1.8162585612365492e-07,4.838184039956346e-07
2015-11-08,0.0,0.0,3.151133612983685e-07,3.367470720694665e-08,3.6917470076895586e-08,1.9828381941643748e-07,5.49219501873408e-07
2015-11-09,0.0,0.0,6.24207893995459e-07,9.529458577769611e-09,2.0894227809128697e-08,2.5530720479090086e-07,7.291570581633631e-07
2015-11-10,0.0,0.0,4.637708591479144e-07,1.4160298946359774e-08,2.328583331487559e-08,3.9099062823099926e-07,6.597388682320541e-07
2015-11-11,0.0,0.0,1.5316987038910345e-07,9.353460276783493e-09,2.307187698658881e-08,2.734574852132065e-07,5.205205859523769e-07
2015-11-12,0.0,0.0,1.185332499439645e-06,1.3903710627587493e-08,2.0323455935731354e-08,3.604244428690984e-07,5.758082021929588e-07
2015-11-13,0.0,0.0,8.391763121950588e-07,4.593571975830315e-09,1.5107753269088473e-08,2.3405121438765733e-07,6.89613354529257e-07
2015-11-14,0.0,0.0,1.6637809692297666e-07,9.107380085815842e-09,1.7472683638461164e-08,2.8672317333702296e-07,6.836260501629742e-07
