Hospitalization date,<3m,3-11m,1-4y,5-17y,18-39y,40-64y,>=65y
2015-10-01,0.0,0.0,6.677350355107422e-07,0.0,1.2221492798993507e-07,3.7729382462623604e-07,1.6422784261793552e-06
2015-10-02,0.0,0.0,1.0851737405071113e-06,0.0,1.1917100960670931e-07,2.8428392302430227e-07,1.2873802163414281e-06
2015-10-03,0.0,0.0,7.050104127739668e-07,0.0,2.5586693860757725e-07,3.2640307959885754e-07,1.1644676936378912e-06
2015-10-04,0.0,0.0,3.4430200667304587e-07,0.0,1.363159756472814e-07,3.1880730625798316e-07,8.979230504843797e-07
2015-10-05,0.0,0.0,3.365480759519645e-07,0.0,1.998690616222842e-07,3.7395304160085537e-07,1.1410115244100976e-06
2015-10-06,0.0,0.0,1.3168313886722045e-06,0.0,1.5206321584627696e-07,3.293221445458955e-07,1.1484886873451046e-06
2015-10-07,0.0,0.0,9.667482318640993e-07,0.0,2.1264152768612526e-07,5.499104394746912e-07,1.0330607651821047e-06
2015-10-08,0.0,0.0,3.156440556331785e-07,0.0,1.6662630120058466e-07,3.9004861882458514e-07,1.488066837134384e-06
2015-10-09,0.0,0.0,0.0,0.0,1.7286269513716294e-07,3.4588191002196284e-07,9.334202321369734e-07
2015-10-10,0.0,0.0,3.033914521632227e-07,0.0,1.1301626452899212e-07,3.3920229064881127e-07,1.1442427014277137e-06
2015-10-11,0.0,0.0,2.976995284727191e-07,0.0,1.6634395145349197e-07,4.379454213317545e-07,9.262898507910089e-07
2015-10-12,0.0,0.0,2.922707988754979e-07,0.0,1.3609214137500839e-07,4.299592236950019e-07,1.2952037808953588e-06
2015-10-13,0.0,0.0,5.741753481661376e-07,0.0,2.673573718527974e-07,5.068012019924364e-07,1.4866995276273649e-06
2015-10-14,0.0,0.0,2.8213409762891914e-07,0.0,1.8392096339605225e-07,3.320377076632802e-07,1.784447038149342e-06
2015-10-15,0.0,0.0,2.773953824489631e-07,0.0,2.8416430875265244e-07,3.1013777240984956e-07,1.4845562121103063e-06
2015-10-16,0.0,0.0,0.0,0.0,1.2705285269446967e-07,3.371769898179901e-07,1.2279573030808274e-06
2015-10-17,0.0,0.0,3.616778695308529e-07,0.0,7.501688103571281e-08,3.7636148061433255e-07,1.7687471296714448e-06
2015-10-18,0.0,0.0,7.121202893638595e-07,0.0,1.723206075143352e-07,3.3346411565812366e-07,1.131349033714112e-06
2015-10-19,0.0,0.0,3.5066763091273203e-07,0.0,2.90932834628541e-07,4.644925615513064e-07,1.0979086280900784e-06
2015-10-20,0.0,5.011032072353862e-07,1.036461916267281e-06,0.0,1.9108997092793595e-07,3.5362374493324813e-07,1.9230035513512433e-06
2015-10-21,0.0,0.0,1.3620285202896289e-06,0.0,1.412515667690016e-07,3.2802473729563046e-07,1.3424925426485254e-06
2015-10-22,0.0,4.869306097702385e-07,6.714319200842636e-07,0.0,1.6247473650384773e-07,3.2340920313578603e-07,2.240369045284407e-06
2015-10-23,0.0,4.802405308835132e-07,6.622069249364976e-07,0.0,2.060260066786397e-07,2.3922434371064166e-07,1.3430828863585502e-06
2015-10-24,0.0,4.737956881863325e-07,9.79980131450461e-07,0.0,1.580919910355544e-07,3.540209184888636e-07,1.1969965610321467e-06
2015-10-25,0.0,0.0,6.447535698284887e-07,0.0,0.0,4.998576587833e-07,2.056339132033322e-06
2015-10-26,0.0,0.0,9.547361481327802e-07,0.0,1.540195905283588e-07,4.037332582361403e-07,1.6844566584466316e-06
2015-10-27,0.0,4.558076037082833e-07,7.750143700243512e-07,0.0,2.389983902818977e-07,5.53715137561369e-07,2.175152828176975e-06
2015-10-28,0.0,4.5022290460044606e-07,0.0,0.0,1.7168735004878404e-07,7.832044044153569e-07,1.5949481735893184e-06
2015-10-29,0.0,4.4482697365694994e-07,7.563438914880802e-07,0.0,1.0601854597607352e-07,4.4553139336957796e-07,2.231094085737477e-06
2015-10-30,0.0,4.396106556079057e-07,1.1212117981581673e-06,0.0,2.9337085819222124e-07,3.9395872908204315e-07,1.469953924916995e-06
2015-10-31,0.0,0.0,1.1083439900800948e-06,0.0,6.21436992310068e-08,3.665293026998978e-07,1.35621146184502e-06
2015-11-01,0.0,4.295402839390354e-07,1.094401115555751e-06,0.0,1.2277097233600424e-07,2.9418917131346103e-07,1.5234569901314669e-06
2015-11-02,0.0,4.2481504184008264e-07,1.4431492553890018e-06,0.0,1.0118367182271397e-07,7.83334692168741e-07,2.118793925895015e-06
