Hospitalization date,<3m,3-11m,1-4y,5-17y,18-39y,40-64y,>=65y
2015-10-01,0.0,0.0,3.4145052408490597e-07,1.3859252831520114e-08,0.0,0.0,9.705301642783945e-07
2015-10-02,0.0,0.0,5.549104400908284e-07,6.757035247211843e-08,0.0,0.0,7.607975072541984e-07
2015-10-03,0.0,0.0,2.1662259817902136e-07,6.594426890754979e-08,0.0,0.0,6.881604263854836e-07
2015-10-04,0.0,0.0,1.0579077116081997e-07,1.2881934054914845e-08,0.0,0.0,5.306416937616089e-07
2015-10-05,0.0,0.0,1.0340828632305448e-07,2.518364712778818e-08,0.0,0.0,6.74298635710346e-07
2015-10-06,0.0,0.0,4.046116647490103e-07,2.4634383160052133e-08,0.0,0.0,6.257667232738503e-07
2015-10-07,0.0,0.0,4.82406193851236e-07,1.2056844213521106e-08,0.0,0.0,5.628745473019462e-07
2015-10-08,0.0,0.0,1.575060004983537e-07,5.904853632400857e-08,0.0,0.0,8.10789622001961e-07
2015-10-09,0.0,6.883155598273098e-07,0.0,4.629924636739206e-08,0.0,0.0,5.08584304345312e-07
2015-10-10,0.0,0.0,1.5139196624425155e-07,4.540512229198635e-08,0.0,0.0,6.234532510351863e-07
2015-10-11,0.0,6.623588159246627e-07,1.4855170323396085e-07,1.1138319323263576e-08,0.0,0.0,5.04699237457216e-07
2015-10-12,0.0,1.300560610664657e-06,1.458427737566415e-07,0.0,0.0,0.0,7.057060595140614e-07
2015-10-13,0.0,6.387482467566371e-07,2.865128015573882e-07,1.0741280660117917e-08,0.0,0.0,6.784423352486703e-07
2015-10-14,0.0,0.0,1.407845721428251e-07,4.222377761219327e-08,0.0,0.0,7.537016777585266e-07
2015-10-15,0.0,1.2343672696055444e-06,1.8751776797798535e-07,1.037864710221909e-08,0.0,0.0,6.270359858675382e-07
2015-10-16,0.0,0.0,0.0,3.06266554013997e-08,0.0,0.0,6.163958994358871e-07
2015-10-17,0.0,5.974138772466071e-07,1.8151115892137502e-07,1.0046196069168878e-08,0.0,0.0,1.0423480843231387e-06
2015-10-18,0.0,0.0,3.5738371048669523e-07,3.956061818801622e-08,0.0,0.0,5.835015614178285e-07
2015-10-19,0.0,0.0,1.759855756885156e-07,3.896147452792638e-08,0.0,0.0,5.350324267203215e-07
2015-10-20,0.0,5.706705553746578e-07,5.201573539558106e-07,3.8385906377790744e-08,0.0,0.0,9.371173796685366e-07
2015-10-21,4.049592672380973e-07,0.0,6.83545762759606e-07,9.458144055356924e-09,0.0,2.4958516569749615e-08,6.542229695349874e-07
