"Year","Month","Geography_Type","Strata","Strata_Name","Count","Annotation_Code","Annotation_Desc","Data_Revision_Date"
1960,01,Occurrence,Total Population,Total Population,28830,,,09/12/2023
1960,01,Residence,Total Population,Total Population,28838,,,09/12/2023
1960,02,Occurrence,Total Population,Total Population,27873,,,09/12/2023
1960,02,Residence,Total Population,Total Population,27913,,,09/12/2023
1960,03,Occurrence,Total Population,Total Population,29984,,,09/12/2023
1960,03,Residence,Total Population,Total Population,30002,,,09/12/2023
1960,04,Occurrence,Total Population,Total Population,28827,,,09/12/2023
1960,04,Residence,Total Population,Total Population,28833,,,09/12/2023
1960,05,Occurrence,Total Population,Total Population,30554,,,09/12/2023
1960,05,Residence,Total Population,Total Population,30585,,,09/12/2023
1960,06,Occurrence,Total Population,Total Population,30279,,,09/12/2023
1960,06,Residence,Total Population,Total Population,30289,,,09/12/2023
1960,07,Occurrence,Total Population,Total Population,32940,,,09/12/2023
1960,07,Residence,Total Population,Total Population,32989,,,09/12/2023
1960,08,Occurrence,Total Population,Total Population,33251,,,09/12/2023
1960,08,Residence,Total Population,Total Population,33287,,,09/12/2023
1960,09,Occurrence,Total Population,Total Population,33679,,,09/12/2023
1960,09,Residence,Total Population,Total Population,33711,,,09/12/2023
1960,10,Occurrence,Total Population,Total Population,32107,,,09/12/2023
1960,10,Residence,Total Population,Total Population,32130,,,09/12/2023
1960,11,Occurrence,Total Population,Total Population,30715,,,09/12/2023
1960,11,Residence,Total Population,Total Population,30724,,,09/12/2023
1960,12,Occurrence,Total Population,Total Population,32486,,,09/12/2023
1960,12,Residence,Total Population,Total Population,32498,,,09/12/2023
1961,01,Occurrence,Total Population,Total Population,30739,,,09/12/2023
1961,01,Residence,Total Population,Total Population,30780,,,09/12/2023
1961,02,Occurrence,Total Population,Total Population,28044,,,09/12/2023
1961,02,Residence,Total Population,Total Population,28059,,,09/12/2023
1961,03,Occurrence,Total Population,Total Population,31671,,,09/12/2023
1961,03,Residence,Total Population,Total Population,31680,,,09/12/2023
1961,04,Occurrence,Total Population,Total Population,29990,,,09/12/2023
1961,04,Residence,Total Population,Total Population,29998,,,09/12/2023
1961,05,Occurrence,Total Population,Total Population,31388,,,09/12/2023
1961,05,Residence,Total Population,Total Population,31397,,,09/12/2023
1961,06,Occurrence,Total Population,Total Population,31177,,,09/12/2023
1961,06,Residence,Total Population,Total Population,31194,,,09/12/2023
1961,07,Occurrence,Total Population,Total Population,33254,,,09/12/2023
1961,07,Residence,Total Population,Total Population,33303,,,09/12/2023
1961,08,Occurrence,Total Population,Total Population,33770,,,09/12/2023
