"Year","Month","Geography_Type","Strata","Strata_Name","Count","Annotation_Code","Annotation_Desc","Data_Extract_Date","Data_Revision_Date"
2023,01,Occurrence,Total Population,Total Population,33870,,,10/15/2024,10/16/2024
2023,01,Occurrence,Place Type,Hospital,33368,,,10/15/2024,10/16/2024
2023,01,Occurrence,Place Type,Freestanding Birth Center,135,,,10/15/2024,10/16/2024
2023,01,Occurrence,Place Type,Home,301,,,10/15/2024,10/16/2024
2023,01,Occurrence,Place Type,Other/Unknown,66,,,10/15/2024,10/16/2024
2023,02,Occurrence,Total Population,Total Population,30619,,,10/15/2024,10/16/2024
2023,02,Occurrence,Place Type,Hospital,30146,,,10/15/2024,10/16/2024
2023,02,Occurrence,Place Type,Freestanding Birth Center,146,,,10/15/2024,10/16/2024
2023,02,Occurrence,Place Type,Home,281,,,10/15/2024,10/16/2024
2023,02,Occurrence,Place Type,Other/Unknown,46,,,10/15/2024,10/16/2024
2023,03,Occurrence,Total Population,Total Population,33151,,,10/15/2024,10/16/2024
2023,03,Occurrence,Place Type,Hospital,32630,,,10/15/2024,10/16/2024
2023,03,Occurrence,Place Type,Freestanding Birth Center,142,,,10/15/2024,10/16/2024
2023,03,Occurrence,Place Type,Home,332,,,10/15/2024,10/16/2024
2023,03,Occurrence,Place Type,Other/Unknown,47,,,10/15/2024,10/16/2024
2023,04,Occurrence,Total Population,Total Population,31027,,,10/15/2024,10/16/2024
2023,04,Occurrence,Place Type,Hospital,30547,,,10/15/2024,10/16/2024
2023,04,Occurrence,Place Type,Freestanding Birth Center,137,,,10/15/2024,10/16/2024
2023,04,Occurrence,Place Type,Home,292,,,10/15/2024,10/16/2024
2023,04,Occurrence,Place Type,Other/Unknown,51,,,10/15/2024,10/16/2024
2023,05,Occurrence,Total Population,Total Population,32872,,,10/15/2024,10/16/2024
2023,05,Occurrence,Place Type,Hospital,32414,,,10/15/2024,10/16/2024
2023,05,Occurrence,Place Type,Freestanding Birth Center,124,,,10/15/2024,10/16/2024
2023,05,Occurrence,Place Type,Home,295,,,10/15/2024,10/16/2024
2023,05,Occurrence,Place Type,Other/Unknown,39,,,10/15/2024,10/16/2024
2023,06,Occurrence,Total Population,Total Population,32778,,,10/15/2024,10/16/2024
2023,06,Occurrence,Place Type,Hospital,32301,,,10/15/2024,10/16/2024
2023,06,Occurrence,Place Type,Freestanding Birth Center,143,,,10/15/2024,10/16/2024
2023,06,Occurrence,Place Type,Home,292,,,10/15/2024,10/16/2024
2023,06,Occurrence,Place Type,Other/Unknown,42,,,10/15/2024,10/16/2024
2023,07,Occurrence,Total Population,Total Population,34348,,,10/15/2024,10/16/2024
2023,07,Occurrence,Place Type,Hospital,33828,,,10/15/2024,10/16/2024
2023,07,Occurrence,Place Type,Freestanding Birth Center,133,,,10/15/2024,10/16/2024
2023,07,Occurrence,Place Type,Home,342,,,10/15/2024,10/16/2024
2023,07,Occurrence,Place Type,Other/Unknown,45,,,10/15/2024,10/16/2024
2023,08,Occurrence,Total Population,Total Population,36075,,,10/15/2024,10/16/2024
2023,08,Occurrence,Place Type,Hospital,35528,,,10/15/2024,10/16/2024
2023,08,Occurrence,Place Type,Freestanding Birth Center,127,,,10/15/2024,10/16/2024
2023,08,Occurrence,Place Type,Home,354,,,10/15/2024,10/16/2024
2023,08,Occurrence,Place Type,Other/Unknown,66,,,10/15/2024,10/16/2024
2023,09,Occurrence,Total Population,Total Population,34556,,,10/15/2024,10/16/2024
2023,09,Occurrence,Place Type,Hospital,34014,,,10/15/2024,10/16/2024
2023,09,Occurrence,Place Type,Freestanding Birth Center,135,,,10/15/2024,10/16/2024
2023,09,Occurrence,Place Type,Home,358,,,10/15/2024,10/16/2024
2023,09,Occurrence,Place Type,Other/Unknown,49,,,10/15/2024,10/16/2024
2023,10,Occurrence,Total Population,Total Population,34962,,,10/15/2024,10/16/2024
2023,10,Occurrence,Place Type,Hospital,34469,,,10/15/2024,10/16/2024
2023,10,Occurrence,Place Type,Freestanding Birth Center,119,,,10/15/2024,10/16/2024
2023,10,Occurrence,Place Type,Home,309,,,10/15/2024,10/16/2024
2023,10,Occurrence,Place Type,Other/Unknown,65,,,10/15/2024,10/16/2024
2023,11,Occurrence,Total Population,Total Population,33488,,,10/15/2024,10/16/2024
2023,11,Occurrence,Place Type,Hospital,32985,,,10/15/2024,10/16/2024
2023,11,Occurrence,Place Type,Freestanding Birth Center,119,,,10/15/2024,10/16/2024
2023,11,Occurrence,Place Type,Home,324,,,10/15/2024,10/16/2024
2023,11,Occurrence,Place Type,Other/Unknown,60,,,10/15/2024,10/16/2024
2023,12,Occurrence,Total Population,Total Population,33597,,,10/15/2024,10/16/2024
2023,12,Occurrence,Place Type,Hospital,33113,,,10/15/2024,10/16/2024
2023,12,Occurrence,Place Type,Freestanding Birth Center,121,,,10/15/2024,10/16/2024
2023,12,Occurrence,Place Type,Home,306,,,10/15/2024,10/16/2024
2023,12,Occurrence,Place Type,Other/Unknown,57,,,10/15/2024,10/16/2024
2024,01,Occurrence,Total Population,Total Population,32886,,,10/15/2024,10/16/2024
2024,01,Occurrence,Place Type,Hospital,32436,,,10/15/2024,10/16/2024
2024,01,Occurrence,Place Type,Freestanding Birth Center,116,,,10/15/2024,10/16/2024
2024,01,Occurrence,Place Type,Home,284,,,10/15/2024,10/16/2024
2024,01,Occurrence,Place Type,Other/Unknown,50,,,10/15/2024,10/16/2024
2024,02,Occurrence,Total Population,Total Population,31238,,,10/15/2024,10/16/2024
2024,02,Occurrence,Place Type,Hospital,30796,,,10/15/2024,10/16/2024
2024,02,Occurrence,Place Type,Freestanding Birth Center,119,,,10/15/2024,10/16/2024
2024,02,Occurrence,Place Type,Home,282,,,10/15/2024,10/16/2024
2024,02,Occurrence,Place Type,Other/Unknown,41,,,10/15/2024,10/16/2024
2024,03,Occurrence,Total Population,Total Population,33295,,,10/15/2024,10/16/2024
2024,03,Occurrence,Place Type,Hospital,32796,,,10/15/2024,10/16/2024
2024,03,Occurrence,Place Type,Freestanding Birth Center,133,,,10/15/2024,10/16/2024
2024,03,Occurrence,Place Type,Home,316,,,10/15/2024,10/16/2024
2024,03,Occurrence,Place Type,Other/Unknown,50,,,10/15/2024,10/16/2024
2024,04,Occurrence,Total Population,Total Population,31891,,,10/15/2024,10/16/2024
2024,04,Occurrence,Place Type,Hospital,31429,,,10/15/2024,10/16/2024
2024,04,Occurrence,Place Type,Freestanding Birth Center,93,,,10/15/2024,10/16/2024
2024,04,Occurrence,Place Type,Home,326,,,10/15/2024,10/16/2024
2024,04,Occurrence,Place Type,Other/Unknown,43,,,10/15/2024,10/16/2024
2024,05,Occurrence,Total Population,Total Population,33024,,,10/15/2024,10/16/2024
2024,05,Occurrence,Place Type,Hospital,32621,,,10/15/2024,10/16/2024
2024,05,Occurrence,Place Type,Freestanding Birth Center,99,,,10/15/2024,10/16/2024
2024,05,Occurrence,Place Type,Home,269,,,10/15/2024,10/16/2024
2024,05,Occurrence,Place Type,Other/Unknown,35,,,10/15/2024,10/16/2024
2024,06,Occurrence,Total Population,Total Population,32437,,,10/15/2024,10/16/2024
2024,06,Occurrence,Place Type,Hospital,32026,,,10/15/2024,10/16/2024
2024,06,Occurrence,Place Type,Freestanding Birth Center,100,,,10/15/2024,10/16/2024
2024,06,Occurrence,Place Type,Home,265,,,10/15/2024,10/16/2024
2024,06,Occurrence,Place Type,Other/Unknown,46,,,10/15/2024,10/16/2024
2024,07,Occurrence,Total Population,Total Population,34607,,,10/15/2024,10/16/2024
2024,07,Occurrence,Place Type,Hospital,34212,,,10/15/2024,10/16/2024
2024,07,Occurrence,Place Type,Freestanding Birth Center,96,,,10/15/2024,10/16/2024
2024,07,Occurrence,Place Type,Home,253,,,10/15/2024,10/16/2024
2024,07,Occurrence,Place Type,Other/Unknown,46,,,10/15/2024,10/16/2024
2024,08,Occurrence,Total Population,Total Population,36041,,,10/15/2024,10/16/2024
2024,08,Occurrence,Place Type,Hospital,35680,,,10/15/2024,10/16/2024
2024,08,Occurrence,Place Type,Freestanding Birth Center,87,,,10/15/2024,10/16/2024
2024,08,Occurrence,Place Type,Home,226,,,10/15/2024,10/16/2024
2024,08,Occurrence,Place Type,Other/Unknown,48,,,10/15/2024,10/16/2024
2024,09,Occurrence,Total Population,Total Population,33532,,,10/15/2024,10/16/2024
2024,09,Occurrence,Place Type,Hospital,33312,,,10/15/2024,10/16/2024
2024,09,Occurrence,Place Type,Freestanding Birth Center,49,,,10/15/2024,10/16/2024
2024,09,Occurrence,Place Type,Home,135,,,10/15/2024,10/16/2024
2024,09,Occurrence,Place Type,Other/Unknown,36,,,10/15/2024,10/16/2024
